"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume"
"2015-03-05",167.21,167.7,166.69,167.57,1547152
"2015-03-12",162.59,164.52,162.57,164.47,1715011
"2015-03-19",166.16,166.21,164.85,165.66,1953456
"2015-03-26",162,163.37,161.21,162.59,2050735
"2015-04-02",163.38,163.97,162.12,162.8,1852617
"2015-04-09",166.25,167.18,165.08,166.79,1680624
"2015-04-16",165.73,166.65,165.1,165.89,1662831
"2015-04-23",159.54,161.45,158.61,159.66,5704517
"2015-04-30",156.82,157.92,156.01,156.39,3510160
"2015-05-07",157.23,159.2,157.23,158.61,2112923
"2015-05-14",162.09,163.3,161.8,163.15,2462549
"2015-05-21",161.9,162.35,161.8,162.06,2401909
"2015-05-28",160.35,160.89,159.61,160.87,1578079
"2015-06-04",159.51,160.38,158.09,158.35,2237628
"2015-06-11",159.12,160.36,159,159.86,1854228
"2015-06-18",157.59,160.24,157.38,159.62,2528893
"2015-06-25",157.85,158.32,155.92,155.92,2564048
"2015-07-02",156.08,156.08,154.9,155.38,2022399
"2015-07-09",154.59,155.5,153.75,153.75,2069222
"2015-07-16",157.58,157.94,156.69,157.17,2023869
"2015-07-23",151.92,153.69,149.02,149.5,5176373
"2015-07-30",151,151.73,150.33,151.57,2120011
"2015-08-06",150.89,151.22,148.9,149.26,1764818
"2015-08-13",148,148.56,147.08,147.4,1793138
"2015-08-20",144.51,144.87,143.34,143.35,3278772
"2015-08-27",143.75,144.95,141.33,143.9,4088014
"2015-09-03",141.94,142.9,141.31,141.74,2589127
"2015-09-10",141,141.91,140.15,140.78,2026675
"2015-09-17",143.81,145.55,142.52,142.95,2824591
"2015-09-24",136.63,138.03,135.39,137.58,2673848
"2015-10-01",142.21,142.5,139.58,140.8,2486252
"2015-10-08",146.65,149.56,146.59,149.48,2003991
"2015-10-15",149.64,149.88,148.02,149.19,2588498
"2015-10-22",151.34,157.04,150.65,156,5099034
"2015-10-29",157.75,157.91,156.88,157.61,1448223
"2015-11-05",159.38,159.58,158.27,158.99,2023379
"2015-11-12",157.78,158.29,156.16,156.3,2296183
"2015-11-19",157.63,158.51,156.71,158.38,1516278
"2015-12-03",156.56,156.9,153.71,154.38,2609503
"2015-12-10",155.73,158.69,155.58,157.52,2551244
"2015-12-17",150.15,150.86,148.83,148.85,3053902
"2015-12-24",150.82,151.8,150.58,151.19,848403
"2015-12-31",151.73,152.12,150.63,150.64,1607102
"2016-01-07",142.52,143.13,140.63,140.97,3553519
"2016-01-14",139.74,142.44,138.86,141.18,3720224
"2016-01-21",136.96,138.67,136.15,137.76,3355169
"2016-01-28",146.16,147.84,145.22,147.32,3067865
"2016-02-04",152.42,154.38,151.78,153.44,3445217
"2016-02-11",149.91,152,149,150.67,3147754
"2016-02-18",156.35,156.97,155.97,156.78,2008497
"2016-02-25",157.54,159,157.01,158.99,1718112
"2016-03-03",159.41,159.69,158.51,159.38,1926039
"2016-03-10",160.77,160.8,158.28,159.89,1874660
"2016-03-17",163.16,164.36,162.84,163.75,2789976
"2016-03-24",163.68,164.54,163.05,164.46,1866437
"2016-03-31",166.75,167.5,166.5,166.63,1776865
"2016-04-07",165.88,167.23,165.25,167.16,2721884
"2016-04-14",169,169,167.88,168.16,1213400
"2016-04-21",168.97,169.7,168.41,168.66,1634976
"2016-04-28",166.85,168.77,166.2,167,1654554
"2016-05-05",167.46,168.33,167.19,167.77,1680203
"2016-05-12",169.86,170.63,168.76,170.15,1741900
"2016-05-19",165.37,166.06,163.17,165.11,1656877
"2016-05-26",170.01,170.77,168.53,168.91,1559894
"2016-06-02",168.71,168.71,167.27,168.04,1980584
"2016-06-09",170.5,171.47,169.4,170.13,2208774
"2016-06-16",167.35,170.39,166.62,169.93,2632138
"2016-06-23",172.71,174.15,172.46,174.11,2021557
"2016-06-30",172.06,175.14,172.06,175.12,2449398
"2016-07-07",175.09,175.64,174.13,174.87,1842372
"2016-07-14",180.15,181.32,179.88,180.9,1904280
"2016-07-21",181.29,181.56,179.7,180.26,1939921
"2016-07-28",177.65,178.37,177.03,177.98,1799475
"2016-08-04",178.96,179.42,177.64,177.81,1072341
"2016-08-11",179.08,181.1,178.88,181,2043437
"2016-08-18",179.7,179.7,178.58,179.18,1088677
"2016-08-25",179.09,180.32,179.05,179.58,840299
"2016-09-01",179.31,180.17,178.8,179.98,1095268
"2016-09-08",179.19,180.21,178.94,180.1,1423980
"2016-09-15",175.53,177,175.36,176.59,1683788
