"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume"
"2013-12-12",63.01,63.24,62.75,62.89,4029226
"2013-12-19",62.25,62.89,61.98,62.15,7903937
"2013-12-26",61.74,62.59,61.74,62.48,3972228
"2014-01-02",63.53,64.17,63.14,63.18,7426855
"2014-01-09",62.89,63.59,62.77,63.34,7270275
"2014-01-16",61.44,61.55,60.6,60.81,5297329
"2014-01-23",58.5,58.72,58.26,58.65,7062468
"2014-01-30",57.11,57.2,56.64,56.67,6214362
"2014-02-06",55.13,56,55.08,55.86,8923417
"2014-02-13",56.97,57.36,56.45,56.86,7572143
"2014-02-20",57.4,57.4,56.4,56.62,8827006
"2014-02-27",60.42,60.78,59.75,60.66,9475989
"2014-03-06",60.61,61.09,60.52,60.74,4856753
"2014-03-13",61.08,61.62,59.71,59.73,6142607
"2014-03-20",59.53,59.9,59.26,59.7,3332061
"2014-03-27",59.57,60.14,59.02,59.74,4416399
"2014-04-03",61.3,61.88,60.68,61.72,4565338
"2014-04-10",61.83,61.83,59.67,59.67,5904134
"2014-04-17",59.71,60.04,59.65,60,3634685
"2014-04-24",60.85,61.46,60.75,61.45,3671072
"2014-05-01",61.85,61.87,61.33,61.74,3611601
"2014-05-08",58.29,58.76,57.98,58.32,6808880
"2014-05-15",58.59,58.67,57.8,58.18,8248967
"2014-05-22",57.07,57.1,55.62,55.99,12411464
"2014-05-29",55.4,55.96,55.3,55.88,4829710
"2014-06-05",57.26,57.79,57.09,57.49,4506097
"2014-06-12",57.14,57.36,57.11,57.24,5457921
"2014-06-19",58.72,59.32,58.7,58.74,3900507
"2014-06-26",58.07,58.1,57.63,57.87,3547976
"2014-07-03",59.12,59.53,58.94,59.51,3014443
"2014-07-10",59.46,59.98,59.46,59.93,3799907
"2014-07-17",59.99,60.2,59.57,59.72,4559744
"2014-07-24",60.74,61.07,60.42,60.99,3491993
"2014-07-31",61,61,59.58,59.59,7067911
"2014-08-07",58.26,58.36,57.27,57.5,4917346
"2014-08-14",58.2,58.77,58.09,58.74,3144877
"2014-08-21",60.4,61.09,59.82,61.07,6562036
"2014-08-28",60.48,60.59,60.07,60.35,4221308
"2014-09-04",60.38,61.2,60.2,61.03,4363691
"2014-09-11",61.83,62.68,61.61,62.59,5599823
"2014-09-18",63.23,64.65,63.2,63.93,7343484
"2014-09-25",63.63,63.76,62.75,62.88,2840879
"2014-10-02",62.14,62.7,61.61,62.57,3199770
"2014-10-09",62.75,63.09,61.42,61.6,4348956
"2014-10-16",58.83,60.17,58.72,59.44,4332597
"2014-10-23",61.79,62.5,61.69,62.03,3418433
"2014-10-30",60.81,61.96,60.55,61.78,2303520
"2014-11-06",61.33,62,61.13,61.89,3956071
"2014-11-13",66.96,67.78,66.94,67.5,7880170
"2014-11-20",71.34,71.83,70.3,71.19,11065671
"2014-12-04",73.33,73.4,72.53,73.28,4238847
"2014-12-11",73.66,74.58,73.32,73.53,5648186
"2014-12-18",74.3,74.99,73.72,74.64,7823752
"2015-01-08",76.81,77.75,76.69,77.13,6344934
"2015-01-15",77.3,77.5,75.08,75.67,17296010
"2015-01-22",74.47,75.94,73.63,75.77,4662812
"2015-01-29",74.26,75.49,73.83,75.49,4545657
"2015-02-05",75.94,76.39,75.82,75.95,3111595
"2015-02-12",76.4,76.94,75.85,76.87,3751003
"2015-02-19",77.23,77.26,76.27,76.68,5613124
"2015-02-26",77.14,77.4,76.27,76.9,5283018
"2015-03-05",77.79,78.24,77.79,78.2,6622306
"2015-03-12",78.1,79.46,78,79.3,4190944
"2015-03-19",80.46,80.8,80.37,80.6,3991735
"2015-03-26",81.36,81.36,80.32,80.44,4795019
"2015-04-02",82.01,82.83,81.6,82.67,3002021
"2015-04-09",83,83.61,82.68,83.29,3369884
"2015-04-16",81.93,82.29,81.53,81.92,4219710
"2015-04-23",81.28,82.26,81.22,81.93,4628692
"2015-04-30",78.78,79.38,78.39,78.83,5376679
"2015-05-07",79.35,80.29,79.16,80.11,3964730
"2015-05-14",77.36,78.1,76.46,77.26,9896338
"2015-05-21",78.3,79.97,78,79.39,6724956
"2015-05-28",80.42,80.7,79.64,80.05,2968263
"2015-06-04",79.98,80.5,79.57,79.96,5688092
"2015-06-11",80,80.44,79.92,80.07,3575079
"2015-06-18",82.1,83.41,82.1,83.19,6679999
"2015-06-25",84.42,85.21,84.34,84.5,5008629
"2015-07-02",83.06,83.43,82.15,82.27,3422008
"2015-07-09",84.2,84.32,83.02,83.04,3863962
"2015-07-16",84.75,85.31,84.5,85.01,2972005
"2015-07-23",82.89,82.95,81.62,81.65,3489575
"2015-07-30",81.58,82.28,81.54,81.93,2991293
"2015-08-06",80,80.34,78.62,79.54,4508173
"2015-08-13",78.73,79.81,78.29,78.99,3322870
"2015-08-20",80.35,81.67,79.81,80.66,7490631
"2015-08-27",77.19,77.92,76.56,77.85,6903569
"2015-09-03",77.53,78.47,77.16,77.45,4551816
"2015-09-10",76.71,77.75,76.6,77.07,4474735
"2015-09-17",78.78,79.12,77.88,78.01,5621889
"2015-09-24",78.46,79.18,77.93,79.06,3917688
"2015-10-01",78.35,79.59,78.18,79.51,6337434
"2015-10-08",78.54,79.66,78.39,78.69,3573521
"2015-10-15",76.12,76.21,73.38,75.13,10144172
"2015-10-22",76.57,77.17,75.96,77.11,4936469
"2015-10-29",76.21,76.5,74.97,76.28,3808984
"2015-11-05",77.14,78.21,76.6,78.15,3206773
"2015-11-12",74.85,75.77,74.33,74.93,5768579
"2015-11-19",70,71.48,69.85,70.55,8332519
"2015-12-03",72.01,73.24,71.76,73.19,7226754
"2015-12-10",72.35,73.05,72.1,72.37,4234608
"2015-12-24",73.46,73.59,72.76,73.17,1097659
"2015-12-31",73.21,73.21,72.47,72.61,3488211
"2016-01-07",73.58,76,73.49,73.88,11289916
"2016-01-14",71.62,71.64,70,70.41,6277302
"2016-01-21",68.07,69.67,67.54,68.64,6866825
"2016-01-28",71.31,71.44,70.18,70.99,4071983
"2016-02-04",70.67,70.67,69.13,70.04,7614850
"2016-02-11",68.32,69.17,67.65,68.05,3822892
"2016-02-18",70.95,72.67,69.5,72.53,5383881
"2016-02-25",77,78.82,76.16,78.67,8366815
"2016-03-03",80.51,80.69,78.57,79.71,11353519
"2016-03-10",81.61,82.03,80.3,81.5,5694795
"2016-03-17",82.26,83.32,82.26,83.02,5689900
"2016-03-24",81.36,82.18,81.18,82.04,4305088
"2016-03-31",82.5,83.15,80.98,82.28,9470895
"2016-04-07",81.95,82.32,81,81.57,4121933
"2016-04-14",81.35,82.1,81.28,81.78,2688933
"2016-04-21",83.08,83.63,82.5,82.75,3328896
"2016-04-28",82.82,82.99,81.15,81.33,3832943
"2016-05-05",79.56,79.71,77.62,78.13,5653016
"2016-05-12",75.33,76.4,75.31,75.6,9123478
"2016-05-19",68.16,68.71,66.79,67.06,12985055
"2016-05-26",69.63,70.11,68.8,68.91,6997667
"2016-06-02",67.74,68.42,67.74,68.32,13664111
"2016-06-09",68.58,68.87,67.36,67.69,6122931
"2016-06-16",67.22,67.54,66.73,66.98,4967892
"2016-06-23",69.37,70.2,69.29,69.78,7511109
"2016-06-30",70.2,70.3,69.4,69.82,6502269
"2016-07-07",70.46,70.92,69.75,70.09,5088134
"2016-07-14",73.59,74.22,73.49,73.49,4802014
"2016-07-21",74.41,74.69,74.15,74.34,3284010
"2016-07-28",75.04,75.23,74.05,74.79,4165933
"2016-08-04",74,74.47,73.78,74.14,3095306
"2016-08-11",75.15,75.18,73.53,74.01,6311362
"2016-08-18",70.43,70.71,69.24,70.3,11650904
"2016-08-25",71.41,72.1,70.59,70.81,5067950
"2016-09-01",70.34,70.7,70.1,70.58,5199939
"2016-09-08",70.3,70.3,69.42,69.46,9141190
"2016-09-15",68.06,69.32,67.92,69.21,5374772
