"","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume"
"2014-01-30",39.62,39.81,38.55,38.85,4602309
"2014-02-06",40.94,41.88,40.67,41.71,6877255
"2014-02-13",39.9,41.11,39.54,41,4427908
"2014-02-20",41.01,41.37,40.58,41.29,2721249
"2014-02-27",43.57,44.4,43.22,44.33,4287332
"2014-03-06",43.21,43.35,42.6,42.9,3155260
"2014-03-13",41.53,41.7,39.97,40.35,4949991
"2014-03-20",42.45,42.5,39.86,40.32,11670604
"2014-03-27",38.63,39.47,38.35,38.99,3585426
"2014-04-03",40.4,40.59,39.92,40.54,2700984
"2014-04-10",39.61,40.33,39.15,39.18,2860513
"2014-04-17",38.79,38.89,37.89,38.22,4878540
"2014-04-24",38.75,39.77,38.5,39.51,5116117
"2014-05-01",38.37,39.7,38.37,39.37,2857665
"2014-05-08",38.51,39.17,38.12,38.39,2313565
"2014-05-15",38.61,38.69,37.46,38.49,5264446
"2014-05-22",38.29,39.36,38.09,38.99,3008810
"2014-05-29",40.64,41.27,40.18,40.87,3931175
"2014-06-05",40.6,41.27,40.43,40.99,2415301
"2014-06-12",40.9,41.06,40.37,40.51,2144733
"2014-06-19",41.4,41.86,40.99,41.16,1974880
"2014-06-26",41.81,42.49,41,41.32,5457317
"2014-07-03",41.96,42.08,41.64,41.93,1154716
"2014-07-10",40.43,41.03,40.23,40.65,1981241
"2014-07-17",40.23,40.25,39.26,39.32,2898150
"2014-07-24",40.24,40.4,39.01,39.27,4174622
"2014-07-31",36.7,36.82,36.06,36.23,5024930
"2014-08-07",36.08,36.23,35.85,35.96,3105980
"2014-08-14",36.65,37.19,36.54,37.17,1638791
"2014-08-21",39.05,39.34,38.69,39.02,1676580
"2014-08-28",38.75,39.11,38.47,38.95,2061692
"2014-09-04",38.35,38.83,38.34,38.71,2286637
"2014-09-11",39.14,39.68,39.12,39.61,2037510
"2014-09-18",41.51,41.51,40.96,41.38,3019888
"2014-09-25",39.83,39.94,39.09,39.44,2701715
"2014-10-02",38.64,39.13,38.14,39.01,2414166
"2014-10-09",40.8,41.26,39.76,39.82,3201081
"2014-10-16",38.8,40.54,38.74,39.68,3742823
"2014-10-23",43.16,44.05,42.5,43.31,4192052
"2014-10-30",43.42,43.57,42.72,43.35,2385598
"2014-11-06",42.8,43.96,42.69,43.92,2699102
"2014-11-13",45.48,46.12,45.38,45.66,3238835
"2014-11-20",45.47,47.2,45.46,46.97,3235592
"2014-12-04",46.23,46.41,45.51,45.77,2874619
"2014-12-11",43.63,44.11,43.27,43.32,3054885
"2014-12-18",43.79,43.79,42.73,43.68,2915396
"2015-01-08",46.16,47.12,45.94,46.86,4581783
"2015-01-15",46.21,46.94,41.63,42.48,16232997
"2015-01-22",43.51,43.96,43,43.83,4180001
"2015-01-29",44.8,46.31,44.71,46.21,4677534
"2015-02-05",46.36,46.75,45.57,46.45,4445425
"2015-02-12",49.35,50.35,48.95,50.26,2989110
"2015-02-19",50.08,50.73,49.9,50.24,2237504
"2015-02-26",50.5,50.54,49.68,50.09,2315749
"2015-03-05",50.01,50.49,49.87,50.12,2402978
"2015-03-12",48.5,49.66,48.39,49.56,2122479
"2015-03-19",51,51.2,48.54,49.65,7807963
"2015-03-26",49.54,50.03,49.3,49.42,2114541
"2015-04-02",51.87,53.26,51.73,53.19,3562015
"2015-04-09",51.12,51.16,49.7,50.49,2533262
"2015-04-16",51.13,51.24,49.94,50.15,3205453
"2015-04-23",47.97,48.06,46.18,46.72,7269699
"2015-04-30",45.95,46.33,45.62,45.8,3882608
"2015-05-07",45.24,46.62,45.21,46.47,2697044
"2015-05-14",47.02,47.4,46.72,47.28,1588954
"2015-05-21",48.57,48.86,48.1,48.41,1804015
"2015-05-28",47.06,47.93,46.97,47.52,3031002
"2015-06-04",46.92,47.31,46.24,46.42,3536707
"2015-06-11",47.37,47.86,47.14,47.2,2044632
"2015-06-18",47.06,47.84,47.01,47.31,2367762
"2015-06-25",51.4,52.5,51.39,51.44,3968835
"2015-07-02",51.4,51.57,50.66,51.2,2163313
"2015-07-09",52.85,53.41,52.7,52.72,3305708
"2015-07-16",53.56,53.64,52.4,52.88,3151438
"2015-07-23",53.35,53.5,51.8,52.46,2254507
"2015-07-30",51.5,52.27,50.86,52.18,1956637
"2015-08-06",50.61,50.76,49.59,50.05,1980813
"2015-08-13",51.63,52.85,51.6,52.43,1512212
"2015-08-20",54.29,55.04,54.26,54.33,2787225
"2015-08-27",50.36,51.47,49.78,51.31,3148683
"2015-09-03",51.33,52.04,51.11,51.64,2105401
"2015-09-10",51.11,51.47,50.05,51.22,2764531
"2015-09-17",52.26,54.23,52.06,52.98,2969616
"2015-09-24",49.21,50.2,48.69,50.12,2753356
"2015-10-01",48.09,48.92,47.58,48.83,2439926
"2015-10-08",50.39,51.15,50.08,51.07,1661074
"2015-10-15",49.32,49.85,48.4,49.79,2810221
"2015-10-22",52.01,52.44,50.45,51.84,3084263
"2015-10-29",50.67,50.71,48.8,49.26,3122200
"2015-11-05",49.96,49.96,48.43,49.07,4788617
"2015-11-12",49.58,49.72,48.49,48.7,1918992
"2015-11-19",50.52,51.03,50.46,50.59,1261123
"2015-12-03",51.38,51.53,49.72,50.09,1883783
"2015-12-10",49.38,50.24,49.22,49.78,1607364
"2015-12-17",50.64,50.79,48.66,48.68,4858373
"2015-12-24",48.76,49.35,48.66,48.88,2916404
"2015-12-31",49.22,49.63,48.89,48.91,1589089
"2016-01-07",44.48,44.8,43.25,43.43,5040832
"2016-01-14",41.54,41.72,40.46,41.05,5219899
"2016-01-21",40.85,42.08,40.72,41.19,3369892
"2016-01-28",42.24,42.67,41.19,41.28,3141948
"2016-02-04",40.25,41.28,40.14,40.52,1981330
"2016-02-11",38.29,38.65,37.14,37.8,4182192
"2016-02-18",40.56,40.72,39.72,40,2032981
"2016-02-25",41.11,42.34,41.1,42.24,2647276
"2016-03-03",44.77,45.66,44.73,45.64,2455752
"2016-03-10",45.26,45.72,44.15,44.86,1694360
"2016-03-17",46.42,47.43,46.23,47.23,2083551
"2016-03-24",46.54,46.56,45.86,46.35,2587765
"2016-03-31",47.67,48.44,47.67,48.36,2109232
"2016-04-07",47.54,48.09,47.36,47.64,2276121
"2016-04-14",48.61,48.96,48.03,48.31,1304242
"2016-04-21",48.03,48.82,47.83,48.15,3375480
"2016-04-28",47.29,47.41,45.69,45.8,2804362
"2016-05-05",44.54,44.62,43.86,44.01,2070295
"2016-05-12",44.26,44.41,43.45,43.7,1702825
"2016-05-19",43.28,43.69,42.93,43.49,2362116
"2016-05-26",45.61,45.83,45.24,45.46,1923268
"2016-06-02",45.66,45.93,45.2,45.78,1393295
"2016-06-09",47.42,47.92,47.41,47.66,1318953
"2016-06-16",45.49,45.76,45.01,45.64,2406981
"2016-06-23",46.55,46.66,46.17,46.58,1514157
"2016-06-30",45.88,46.28,45.27,46.1,2313082
"2016-07-07",47.07,47.76,47.07,47.49,2565948
"2016-07-14",49.18,49.18,48.6,48.77,1521833
"2016-07-21",49.05,49.05,48.54,48.85,1867041
"2016-07-28",48.73,48.79,48.28,48.28,1888320
"2016-08-04",45.77,46.05,45.26,45.81,2778683
"2016-08-11",46.97,47.36,46.8,47.16,1181680
"2016-08-18",46.75,46.98,46.42,46.88,1034966
"2016-08-25",47.18,47.67,46.92,47.19,1424779
"2016-09-01",47.37,47.6,46.56,46.71,1099938
"2016-09-08",47.21,47.26,46.83,46.87,725063
"2016-09-15",44.74,45.29,44.51,45.01,2578638
