"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume"
"2014-09-25",38.72,38.72,38.12,38.13,3901807
"2014-10-02",36.84,37.08,35.95,36.9,5336350
"2014-10-09",35.91,36.01,34.66,34.71,6450384
"2014-10-16",32.55,33.88,31.94,33.5,12782108
"2014-10-23",34.45,35.1,34.35,34.73,6567003
"2014-10-30",34.23,34.36,33.88,34.11,4738852
"2014-11-06",33.6,34.35,33.21,34.34,8647962
"2014-11-13",32.62,32.62,31.61,31.95,8212912
"2014-11-20",32.81,33.38,32.74,33.28,5940067
"2014-12-04",30.24,30.3,29.81,29.84,8888097
"2014-12-11",26.45,26.95,26.15,26.25,8571328
"2014-12-18",28.46,28.49,26.81,27.56,19714331
"2015-01-08",27.63,27.76,27.12,27.74,11658155
"2015-01-15",26.54,26.61,25.44,25.47,6164984
"2015-01-22",26.91,26.94,26.2,26.83,6521339
"2015-01-29",25.81,25.94,24.85,25.57,7761757
"2015-02-05",28.48,28.67,28.1,28.38,7309666
"2015-02-12",28.59,29.07,28.41,28.78,6066446
"2015-02-19",28.47,29.27,27.81,29.01,10128358
"2015-02-26",28.72,28.74,27.84,28,7463173
"2015-03-05",27.59,27.59,27.22,27.34,4662835
"2015-03-12",26.01,26.08,25.57,25.61,6936281
"2015-03-19",25.75,26.04,25.64,25.69,5958918
"2015-03-26",26.83,27.17,26.36,26.38,7974141
"2015-04-02",26.41,27.28,26.39,27.07,8614182
"2015-04-09",28.11,28.87,28.07,28.77,9637294
"2015-04-16",30.59,31.07,30.35,30.7,6356530
"2015-04-23",30.42,30.73,30.3,30.55,5402398
"2015-04-30",31.37,31.45,30.75,31.1,6826177
"2015-05-07",29.82,30.28,28.47,28.92,11315649
"2015-05-14",28.19,28.28,27.59,27.62,7124847
"2015-05-21",27.62,28.26,27.46,28.18,7370098
"2015-05-28",27.4,27.42,26.99,27.22,4732475
"2015-06-04",26.88,27.03,26.64,26.65,4377668
"2015-06-11",27.12,27.29,26.88,26.93,4144692
"2015-06-18",26.66,26.79,26.46,26.53,3904190
"2015-06-25",27.18,27.2,26.75,26.81,10990806
"2015-07-02",25.87,26.38,25.67,25.73,6216178
"2015-07-09",25.22,25.38,24.75,24.78,9405643
"2015-07-16",24.65,24.68,24.16,24.27,6633980
"2015-07-23",22.36,22.48,21.72,22.1,12028965
"2015-07-30",21.86,21.94,21.47,21.86,8454783
"2015-08-06",19.05,19.74,17.86,19.45,21784230
"2015-08-13",18.79,18.87,17.98,18.02,10108918
"2015-08-20",16.17,16.57,15.95,16.13,14227182
"2015-08-27",14.93,16.13,14.87,15.97,22353775
"2015-09-03",16.94,17.59,16.65,16.87,13563254
"2015-09-10",15.03,15.42,14.74,14.98,18704278
"2015-09-17",16.23,16.98,16.13,16.43,19648907
"2015-09-24",15.09,15.68,15.04,15.45,12031642
"2015-10-01",15.79,16.19,15.14,15.31,14179618
"2015-10-08",19.1,20.39,19.02,20.18,17091483
"2015-10-15",18.76,19.46,18.69,19.43,9402451
"2015-10-22",18.2,18.62,18.04,18.48,8959959
"2015-10-29",17.48,18.71,17.37,17.55,15989361
"2015-11-05",18.99,19.95,18.13,19,19077192
"2015-11-12",16.94,17.6,16.68,17.2,10536245
"2015-11-19",17.71,17.86,17.17,17.64,9794769
"2015-12-03",16.85,16.93,16.29,16.55,14461750
"2015-12-10",14.43,14.96,14.26,14.74,10257654
"2015-12-17",13.79,13.97,12.65,12.78,18589186
"2015-12-24",13.98,14.11,13.59,13.93,5709480
"2015-12-31",12.33,12.66,12.22,12.59,10140975
"2016-01-07",10.83,11.18,10.55,10.67,20172902
