"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume"
"2016-01-14",8.7,9.24,8.36,9.07,33822930
"2016-01-21",7.75,8.89,7.72,8.79,37165489
"2016-01-28",9.34,9.55,8.84,9.17,20970031
"2016-02-04",9.55,10.28,9.09,9.19,33450476
"2016-02-11",6.92,7.3,6.52,7.06,36821777
"2016-02-18",7.6,7.62,6.7,6.93,54942069
"2016-02-25",7.25,7.43,6.96,7.39,20674316
"2016-03-03",9.03,10,8.97,9.97,65396880
"2016-03-10",10.31,10.62,10.01,10.59,33982417
"2016-03-17",11.72,11.75,11.31,11.45,30738293
"2016-03-24",9.77,10.45,9.65,10.29,28977704
"2016-03-31",10.52,11.24,10.42,11.14,40194035
"2016-04-07",10.88,11.29,10.78,11.22,23324238
"2016-04-14",13.02,13.23,12.72,13.11,21202105
"2016-04-21",14.18,14.25,13.77,13.86,23497767
"2016-04-28",14.79,15.07,14.32,14.35,21443490
"2016-05-05",12.75,12.81,11.89,12.07,26854508
"2016-05-12",12.73,13.14,12.16,12.33,25065839
"2016-05-19",12.35,12.88,12.11,12.74,17301021
"2016-05-26",13.8,13.89,13.17,13.17,17203959
"2016-06-02",13.01,13.47,12.96,13.38,13965133
"2016-06-09",14.18,14.47,14.1,14.26,14134252
"2016-06-16",12.9,12.91,12.22,12.67,16743710
"2016-06-23",15.02,15.28,14.78,15.27,19493993
"2016-06-30",15.02,15.15,14.76,15.01,15331686
"2016-07-07",15.2,15.4,14.56,14.74,18821988
"2016-07-14",15.55,15.76,15.21,15.27,12174891
"2016-07-21",14.8,15.08,14.37,14.42,18176293
"2016-07-28",13.19,13.44,13.08,13.35,16668890
"2016-08-04",13.6,13.9,13.05,13.41,24445640
"2016-08-11",14.15,14.63,14.01,14.45,13615894
"2016-08-18",15.87,16.73,15.8,16.68,26905976
"2016-08-25",16.02,16.28,15.91,16.01,11531870
"2016-09-01",14.96,15.26,14.82,15.11,14881760
"2016-09-08",15.89,16.9,15.77,16.74,26230460
"2016-09-15",14.12,14.5,14.08,14.26,12228557
