"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume"
"2014-08-14",161.13,162.14,160.92,161.93,196392
"2014-08-21",162.53,164.49,162.53,163.91,259038
"2014-08-28",163.48,163.95,162.65,163.23,235144
"2014-09-04",163.83,165,162.83,163.09,332332
"2014-09-11",161.85,162.56,161.56,162.16,242754
"2014-09-18",163.31,164.56,163,164.06,175108
"2014-09-25",161.41,161.66,159.58,159.71,217878
"2014-10-02",160.81,162.44,160.77,161.47,254154
"2014-10-09",163.61,164.14,160.21,160.41,319091
"2014-10-16",156.63,159.49,155.84,158.36,467447
"2014-10-23",166,166.42,162.97,163.38,349154
"2014-10-30",166.9,169.8,166.71,169.51,264859
"2014-11-06",172.23,172.91,171.3,172.14,260163
"2014-11-13",170.58,171.28,169.17,170.78,319742
"2014-11-20",171.84,174.55,170.55,173.58,407047
"2014-12-04",174.34,175.18,174.13,174.61,183517
"2014-12-11",170.17,172.97,170.16,172.11,695897
"2014-12-18",169.94,171.74,168.44,171.74,354335
"2015-01-08",171.85,175.09,170.92,174.96,348210
"2015-01-15",167.4,169.06,166.24,167.95,232707
"2015-01-22",170.75,173.72,169.34,173.23,239475
"2015-01-29",172.53,173.52,170.38,173.35,218302
"2015-02-05",179.08,182.04,177.27,181.83,318685
"2015-02-12",182.55,183.73,181.54,182.1,246662
"2015-02-19",179.94,179.95,178.3,178.97,175605
"2015-02-26",177,178.71,177,178.13,197770
"2015-03-05",178.46,179.81,177.56,178.32,199062
"2015-03-12",176.37,178.77,175.88,178.61,214694
"2015-03-19",177.47,178.03,174.94,176.1,347819
"2015-03-26",174.89,175.49,174.2,174.45,344373
"2015-04-02",173.42,174.23,172.74,173.9,284586
"2015-04-09",179.17,180.18,178.51,180.01,252014
"2015-04-16",183.25,184.02,181.82,183.8,250143
"2015-04-23",180.79,182.32,180.01,181.66,267273
"2015-04-30",179.01,180.43,178.15,178.91,303154
"2015-05-07",179.43,180.58,178.56,180.38,342621
"2015-05-14",182.94,184.82,182.28,184.76,210851
"2015-05-21",185,186.26,184.66,184.87,310274
"2015-05-28",183.46,184.43,182.18,184.15,286078
"2015-06-04",182.54,183.87,181.55,182.77,200281
"2015-06-11",181.53,184.89,180.03,184.89,261682
"2015-06-18",184.41,185.82,183.7,185.55,231386
"2015-06-25",184.39,184.54,182.53,183.3,245198
"2015-07-02",185.82,186.75,184.61,184.74,221497
"2015-07-09",187.94,188.61,184.14,184.84,278080
"2015-07-16",191.05,192.12,190.19,191.54,211757
"2015-07-23",190.29,191.05,188.45,188.93,280917
"2015-07-30",182.77,183.8,181.54,182.99,600260
"2015-08-06",184.85,185.26,183.12,184,283591
"2015-08-13",184.99,185.78,184.19,184.95,181971
"2015-08-20",183.3,184,182.09,182.26,264496
"2015-08-27",172.95,175.49,171.48,175.36,389916
"2015-09-03",175.3,176,174.45,174.91,272987
"2015-09-10",175.94,177.3,174.49,176.22,262505
"2015-09-17",176.98,178.2,175.89,176.06,299621
"2015-09-24",171.84,173.74,171.8,173.32,215260
"2015-10-01",173.36,174.2,170.64,172.19,293921
"2015-10-08",176.64,179.43,175.44,178.96,232706
"2015-10-15",177.25,178.46,176.65,178.21,292245
"2015-10-22",180.29,182.05,179.82,181.62,375105
"2015-10-29",182.23,183.08,181.17,182,272084
"2015-11-05",179.27,180.51,178.95,179.97,199610
"2015-11-12",180.07,182.47,180.07,181.57,396378
"2015-11-19",184.19,186.21,183.26,186.06,234556
"2015-12-03",184.92,185.4,182.92,183.76,364672
"2015-12-10",185.7,186.89,183.8,184.39,318164
"2015-12-17",181.76,182.84,181,181.91,244536
"2015-12-24",184.06,185.77,183.44,185.07,72052
"2015-12-31",185.31,186.73,183.09,183.09,169579
"2016-01-07",176.68,179.43,176.68,176.98,296630
"2016-01-14",172.93,175.54,172.51,174.55,243179
"2016-01-21",170.05,170.98,167.52,169.35,385782
"2016-01-28",172.54,174.92,172.11,174.46,206913
"2016-02-04",180.02,183.37,180.02,182.56,461189
"2016-02-11",182.54,183.9,182.14,182.92,333109
"2016-02-18",185.31,186.95,184.08,185.93,338294
"2016-02-25",187.87,189.91,186.45,189.29,251728
"2016-03-03",192.18,192.78,190.81,191.98,234506
"2016-03-10",193.83,194.9,191.41,193.62,222478
"2016-03-17",195.06,196.09,194.14,194.74,304398
"2016-03-24",192.93,193.82,190.17,191.36,242683
"2016-03-31",196.33,197.99,194.92,197.43,258455
"2016-04-07",194.93,196.41,193.73,195.23,299468
"2016-04-14",198.73,199.47,196.94,197.63,278132
"2016-04-21",197.54,199.98,190.12,191.59,422292
"2016-04-28",183.71,185.6,181.62,184.34,436333
"2016-05-05",183.86,184.67,182.74,183.17,302814
"2016-05-12",182.36,184.49,181.52,184.08,328609
"2016-05-19",180.6,182.31,179.18,179.89,382423
"2016-05-26",178.8,179.36,177.9,179.08,293794
"2016-06-02",179,179,177.53,177.85,474904
"2016-06-09",180.03,181.25,178.98,180.42,321817
"2016-06-16",170.83,173.13,170.32,172.92,222551
"2016-06-23",177.28,177.68,175.67,177.42,170986
"2016-06-30",174.41,182.69,174.12,182.67,731936
"2016-07-07",180.79,181.64,179.62,180.87,472095
"2016-07-14",182.61,182.61,180.78,180.96,265064
"2016-07-21",179.41,180.06,178.18,178.58,170751
"2016-07-28",185.66,189.1,185.66,189.03,335523
"2016-08-04",190.09,190.75,189.79,190.27,264588
"2016-08-11",191,191.77,189.43,189.47,320573
"2016-08-18",188.93,189.69,188.69,189.28,179060
"2016-08-25",188.84,190.73,188.48,190.09,148796
"2016-09-01",192.54,193.44,190.94,192.6,182948
"2016-09-08",195,195.15,193.18,193.24,183455
"2016-09-15",189.21,190.79,188.61,190.49,186774
