"","HCP.Open","HCP.High","HCP.Low","HCP.Close","HCP.Volume"
"2013-05-02",52.75,53.24,52.59,53.06,2602041
"2013-05-09",52.6,52.67,51.69,51.76,3707551
"2013-05-16",54.18,54.55,53.83,54.15,2245598
"2013-05-23",53.83,53.85,51.72,51.88,4194084
"2013-05-30",48.21,48.57,47.72,47.89,3149628
"2013-06-06",46.42,47.77,46.32,47.74,3209864
"2013-06-13",45.36,46.14,45.2,45.99,4439546
"2013-06-20",43.82,43.96,41.54,41.89,5791533
"2013-06-27",45.41,45.73,45.15,45.68,3067637
"2013-07-11",45.62,46.78,45.62,46.55,3506977
"2013-07-18",47.24,47.45,46.52,46.84,2258448
"2013-07-25",44.87,45.2,44.67,45.17,2307192
"2013-08-01",43.73,43.73,42.03,42.08,3757234
"2013-08-08",42.23,42.32,41.78,42.07,1669907
"2013-08-15",40.36,40.49,39.84,40.22,3375078
"2013-08-22",40.53,40.55,39.89,40.29,2220780
"2013-08-29",41.11,41.11,40.54,40.78,1843108
"2013-09-05",40.43,40.55,39.69,39.71,1690543
"2013-09-12",41.52,41.9,41.19,41.23,2207959
"2013-09-19",44.05,44.51,43.36,43.37,3308133
"2013-09-26",41.67,41.79,41.42,41.79,1610235
"2013-10-03",41.59,41.63,39.36,39.82,8955426
"2013-10-10",40.5,40.92,40.36,40.87,2631732
"2013-10-17",42.04,42.96,41.96,42.84,2649419
"2013-10-24",42.67,42.7,42.35,42.39,1989299
"2013-10-31",42.17,42.17,41.22,41.5,2794085
"2013-11-07",41.08,41.18,40.42,40.45,2438157
"2013-11-14",39.59,40.1,39.56,39.58,2250413
"2013-11-21",38.83,39.16,38.6,38.92,2113597
"2013-12-05",36.25,36.69,36.09,36.49,2555419
"2013-12-12",35.83,35.9,35.5,35.66,3393520
"2013-12-19",36.67,36.73,35.6,35.8,2926792
"2013-12-26",36.47,36.67,36.35,36.48,1940361
"2014-01-02",36.33,36.43,36,36.21,2100032
"2014-01-09",37.75,37.82,37.13,37.41,3674615
"2014-01-16",37.97,38.4,37.97,38.4,2953341
"2014-01-23",38.35,38.56,38.25,38.53,3409925
"2014-01-30",39.01,39.22,38.85,38.89,2529814
"2014-02-06",38.04,38.56,38.01,38.14,3197630
"2014-02-13",37.5,37.99,37.47,37.88,2452511
"2014-02-20",38.18,38.54,37.63,37.84,2277779
"2014-02-27",38.04,38.37,38.02,38.35,2309307
"2014-03-06",39.24,39.32,38.46,38.58,1909863
"2014-03-13",37.7,37.7,37.13,37.14,3719965
"2014-03-20",36.24,36.53,36,36.24,3925434
"2014-03-27",37.13,37.83,37.01,37.77,2719007
"2014-04-03",39.09,39.09,38.7,39.01,1798126
"2014-04-10",40.47,40.79,39.98,40.04,3154819
"2014-04-17",41.02,41.07,40.07,40.53,4893200
"2014-04-24",40.84,41.21,40.74,40.9,2361078
"2014-05-01",41.85,42.2,41.49,42.18,2582856
"2014-05-08",42.04,42.38,41.93,42.38,3369152
"2014-05-15",42.11,42.29,41.88,42.26,2239741
"2014-05-22",41.86,41.99,41.64,41.68,1447843
"2014-05-29",41.55,41.74,41.49,41.61,1980178
"2014-06-05",41.82,42.66,41.82,42.64,2545483
"2014-06-12",41.35,41.49,40.97,41.44,1881607
"2014-06-19",40.64,40.98,40.55,40.66,5126948
"2014-06-26",40.95,41.42,40.77,41.4,2483823
"2014-07-03",41.21,41.21,40.44,40.79,1754737
"2014-07-10",41.12,41.87,41.12,41.54,2083937
"2014-07-17",41.81,41.97,41.72,41.85,1832769
"2014-07-24",42.42,42.47,42.24,42.45,1724761
"2014-07-31",41.81,42.15,41.53,41.53,2258291
"2014-08-07",40.78,40.89,40.56,40.71,1965699
"2014-08-14",41.81,42.11,41.74,42,1972768
"2014-08-21",42.59,42.92,42.52,42.55,1312950
"2014-08-28",42.69,43.14,42.69,43.1,2365699
"2014-09-04",43.2,43.59,43.05,43.43,2167628
"2014-09-11",42.33,42.72,42.17,42.45,2336071
"2014-09-18",40.6,40.62,39.8,39.83,2891466
"2014-09-25",39.37,39.84,39.34,39.72,3223751
"2014-10-02",40,40.09,39.66,39.9,2078217
"2014-10-09",40.98,41.59,40.94,41.14,2545077
"2014-10-16",42.43,42.84,42.17,42.61,3147435
"2014-10-23",42.77,42.87,42.28,42.81,2915684
"2014-10-30",42.98,43.59,42.93,43.59,1603016
"2014-11-06",43.89,44,43.04,43.12,2424420
"2014-11-13",43.86,43.98,43.43,43.92,2534271
"2014-11-20",43.24,43.31,42.86,43.18,2936893
"2014-12-04",45.46,45.69,45.2,45.57,2507495
"2014-12-11",45.42,45.6,45.16,45.3,2279450
"2014-12-18",45.38,45.38,44.59,44.9,3941522
"2015-01-08",47.33,47.67,46.26,46.51,5943256
"2015-01-15",47.8,48.39,47.39,48.16,3792874
"2015-01-22",47.75,48.12,47.34,48.03,4044333
"2015-01-29",47.97,48.22,47.65,47.95,2855954
"2015-02-05",44.96,45.23,44.5,45.2,3701136
"2015-02-12",42.66,42.95,42.42,42.67,3221544
"2015-02-19",43.49,43.55,42.86,42.96,2799181
"2015-02-26",42.32,42.32,41.65,41.78,3062605
"2015-03-05",41.97,42.75,41.91,41.94,3103630
"2015-03-12",40.25,40.57,40.13,40.33,14000692
"2015-03-19",41.51,41.97,41.24,41.24,2740773
"2015-03-26",41.71,42.12,41.62,41.85,4148741
"2015-04-02",43.57,44.28,43.46,43.99,3635664
"2015-04-09",43.74,43.86,42.65,42.82,2851855
"2015-04-16",42.77,43.3,42.6,43.06,3226730
"2015-04-23",42.19,42.71,42.07,42.57,2525065
"2015-04-30",40.96,41.23,39.94,40.29,6386917
"2015-05-07",38.75,39.5,38.75,39.24,3663261
"2015-05-14",38.93,39.32,38.87,39.26,2653288
"2015-05-21",39.87,40.01,39.37,39.55,2358022
"2015-05-28",39.34,39.47,38.9,39.12,1511824
"2015-06-04",38.25,38.44,37.91,38.29,2711107
"2015-06-11",37.99,38.15,37.86,38.05,2970949
"2015-06-18",38.2,38.62,38.04,38.43,4642754
"2015-06-25",36.85,36.94,36.32,36.34,3708751
"2015-07-02",37.2,37.5,36.83,36.98,2449637
"2015-07-09",38.14,38.22,37.62,37.64,2134684
"2015-07-16",37.64,37.89,37.56,37.8,2454680
"2015-07-23",37.95,37.95,37.47,37.73,2497963
"2015-07-30",38.67,38.81,38.01,38.25,2517430
"2015-08-06",37.96,38.15,37.28,37.95,3117420
"2015-08-13",39.51,39.82,38.92,39.7,4487350
"2015-08-20",40.52,40.76,40.25,40.51,3488404
"2015-08-27",37.81,38.29,37.28,37.94,5860242
"2015-09-03",36.92,36.96,36.41,36.58,2347845
"2015-09-10",35.96,36.28,35.68,35.85,2298220
"2015-09-17",37.61,39.07,37.48,38.38,3547572
"2015-09-24",38.3,38.85,38.3,38.41,2714958
"2015-10-01",37.41,37.58,36.95,37.29,2470863
"2015-10-08",38.84,39.34,38.63,39.3,2925573
"2015-10-15",38.22,38.59,38.1,38.53,2792244
"2015-10-22",39.45,39.83,39.15,39.77,3253965
"2015-10-29",37.92,38.28,37.62,38.24,3332306
"2015-11-05",35.54,35.84,35.27,35.81,4323343
"2015-11-12",33.06,33.37,32.94,33.13,3639923
"2015-11-19",34.31,34.86,34.12,34.64,3133122
"2015-12-03",35.46,35.58,34.96,35.09,6664350
"2015-12-10",35.98,36.06,35.18,35.2,3502725
"2015-12-17",37.19,37.57,36.78,37.24,4860743
"2015-12-24",37.74,37.97,37.6,37.82,930869
"2015-12-31",38.69,38.82,38.24,38.24,2852691
"2016-01-07",36.8,37.26,36.32,36.49,9349906
"2016-01-14",36.28,36.45,35.88,35.96,3592416
"2016-01-21",35.47,36.24,34.86,35.63,3377010
"2016-01-28",35.39,35.52,34.91,35,3513037
"2016-02-04",36.24,36.35,35.38,35.82,2996108
"2016-02-11",25.75,26.34,25.11,26.13,10967229
"2016-02-18",27.47,28.34,27.19,28.08,4756782
"2016-02-25",28.88,29.69,28.79,29.66,4505512
"2016-03-03",31.04,31.42,30.86,31.38,2481715
"2016-03-10",32.35,32.37,31.33,31.71,3653187
"2016-03-17",32.29,33.01,32.11,32.93,4336034
"2016-03-24",31.44,31.8,30.96,31.69,3160736
"2016-03-31",32.49,32.95,31.86,32.58,5265538
"2016-04-07",33.65,34.11,33.27,34.04,4303929
"2016-04-14",35.09,35.19,34.98,35.05,2694102
"2016-04-21",34.24,34.24,32.82,33.04,5543697
"2016-04-28",34.01,34.1,33.72,33.91,3169569
"2016-05-05",34.79,34.86,34.09,34.22,4621946
"2016-05-12",34.09,34.48,33.72,34.24,3003273
"2016-05-19",32.22,32.44,31.99,32.26,2509261
"2016-05-26",32.62,32.87,32.46,32.68,2043347
"2016-06-02",33.03,33.39,32.84,33.37,1944796
"2016-06-09",34.34,34.51,34.07,34.48,2013761
"2016-06-16",34.7,34.98,34.63,34.94,2730543
"2016-06-23",34.26,34.62,33.94,34.11,3734563
"2016-06-30",35.46,35.58,34.83,35.38,3531159
"2016-07-07",35.42,35.5,34.56,34.88,3553982
"2016-07-14",37.28,37.34,36.66,36.95,2530190
"2016-07-21",38.23,38.71,38.09,38.55,3180903
"2016-07-28",38.69,39.18,38.37,39.02,3320497
"2016-08-04",38.43,38.58,38.18,38.5,2339113
"2016-08-11",39.49,39.6,38.34,38.56,4229031
"2016-08-18",39.49,39.96,39.49,39.84,3992844
"2016-08-25",39.46,39.9,39.37,39.58,1728679
"2016-09-01",39.35,39.39,38.59,38.8,2668167
"2016-09-08",40.08,40.08,39.38,39.6,7247472
"2016-09-15",36.89,37.21,36.65,37.03,2387086
