"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume"
"2013-10-10",71.41,72.71,71.32,72.62,2423702
"2013-10-17",73.58,74.77,73.43,74.68,2655664
"2013-10-24",75.27,75.34,74.68,74.82,2247550
"2013-10-31",74.61,74.89,73.53,73.53,2181225
"2013-11-07",74.09,74.24,72.85,72.9,1917300
"2013-11-14",73.91,74.73,73.55,74.68,2485908
"2013-11-21",75.42,76.58,75.25,76.33,1996139
"2013-12-05",75.36,75.52,74.8,75.02,2031088
"2013-12-12",75.51,76.11,75.26,75.82,1884296
"2013-12-19",75.35,76.3,74.91,76,2535866
"2013-12-26",77.32,77.47,77.13,77.26,663373
"2014-01-02",76.06,77.22,76.06,76.6,1742055
"2014-01-09",78.95,79.29,78.65,79.19,3017771
"2014-01-16",80.69,81.28,78.84,80.93,4537593
"2014-01-23",83.66,83.78,82.23,82.66,2985915
"2014-01-30",80.9,81.72,80.43,81.62,2028985
"2014-02-06",78.91,79.87,78.58,79.83,2213473
"2014-02-13",80.45,81.24,80.11,81.14,1589684
"2014-02-20",79.97,80.3,79.06,79.98,2147856
"2014-02-27",80.99,81.35,80.4,81.34,1643309
"2014-03-06",83.04,83.59,82.71,82.82,1950133
"2014-03-13",83.84,84.05,82.63,82.79,1703342
"2014-03-20",84.81,86.88,84.67,86.63,3300944
"2014-03-27",85.33,86.1,84.45,85.14,2380056
"2014-04-03",87.55,87.67,86.97,87.41,1580097
"2014-04-10",84.61,84.89,82.2,82.21,3505202
"2014-04-17",83.91,84.24,83.19,83.77,2486492
"2014-04-24",85.04,85.09,84.04,84.26,1715770
"2014-05-01",83.96,84.36,83.36,83.77,1734635
"2014-05-08",83.56,84.41,83.53,83.86,1529748
"2014-05-15",83.06,83.2,81.65,82.64,2185384
"2014-05-22",83.56,84.1,83.36,84.09,1561339
"2014-05-29",84.56,84.82,84.16,84.76,2265745
"2014-06-05",85.84,86.8,85.31,86.63,1499240
"2014-06-12",87.27,87.86,86.84,87.35,2910357
"2014-06-19",88.68,88.82,88.26,88.55,1266637
"2014-06-26",88.57,88.82,87.82,88.68,1010653
"2014-07-03",89.52,90,89.35,89.97,977738
"2014-07-10",87.24,87.58,86.84,87.45,2532555
"2014-07-17",84.15,84.47,83.18,83.34,4161503
"2014-07-24",83.93,84.71,83.93,84.57,2142624
"2014-07-31",83.7,84,82.55,82.56,2776992
"2014-08-07",81.97,82.2,81.09,81.23,2365158
"2014-08-14",82.2,82.83,82.08,82.25,1543627
"2014-08-21",83.56,84.77,83.4,84.55,2023283
"2014-08-28",84.57,84.84,84.24,84.54,1514928
"2014-09-04",85.15,85.8,84.82,85.1,1490604
"2014-09-11",85.53,86.03,85.36,85.77,1351091
"2014-09-18",87.77,88.46,87.62,87.94,1805960
"2014-09-25",86.59,86.63,85.45,85.46,2362923
"2014-10-02",84.08,84.43,83.15,84.21,2654653
"2014-10-09",84.89,84.95,82.89,83.02,2936235
"2014-10-16",76.72,79.28,76.69,78.87,4814887
"2014-10-23",81.73,82.25,81.4,81.56,1849589
"2014-10-30",84.79,85.74,84.22,85.42,1485705
"2014-11-06",87.49,88.39,87.44,88.38,1568555
"2014-11-13",88.09,88.17,87.44,87.83,1561718
"2014-11-20",86.56,86.93,86.27,86.93,2401410
"2014-12-04",88.12,88.48,87.75,88.37,1508699
"2014-12-11",89.04,90.11,88.76,88.95,2196600
"2014-12-18",90.78,92.36,90.48,92.36,4160615
"2015-01-08",87.49,88.59,87.45,88.42,2124191
"2015-01-15",82.62,83.39,82.07,82.42,4737068
"2015-01-22",85.31,87.31,85.1,87.06,3769937
"2015-01-29",83.65,85.54,83.58,85.54,3586761
"2015-02-05",87.88,88.93,87.77,88.82,2571860
"2015-02-12",90.3,91.56,89.88,91.56,2227811
"2015-02-19",90.93,91.66,90.55,91.62,1455634
"2015-02-26",92.34,92.37,91.64,92.16,1512856
"2015-03-05",92.15,92.56,91.59,92.54,2265303
"2015-03-12",94.59,96.71,94.5,96.63,4031869
"2015-03-19",95.92,96.08,94.39,94.87,3344028
"2015-03-26",92.48,93.05,91.97,92.49,3525737
"2015-04-02",92.56,93.5,92.21,93.29,2226808
"2015-04-09",92.81,93.57,92.36,93.51,1825574
"2015-04-16",92.05,92.21,90.76,91.76,4751610
"2015-04-23",91.33,91.72,90.99,91.4,2499024
"2015-04-30",91.8,92.44,91.39,91.73,2047904
"2015-05-07",92.54,92.76,92.15,92.37,2091191
"2015-05-14",94.96,95.07,94.34,94.96,2412363
"2015-05-21",94.8,95.23,94.59,94.96,1514557
"2015-05-28",95.89,96.06,95.35,96,1563179
"2015-06-04",95.59,95.94,94.7,94.95,2269033
"2015-06-11",99.12,99.59,98.59,98.78,2287179
"2015-06-18",97.77,98.13,96.93,97.89,2671532
"2015-06-25",98.41,98.48,97.21,97.4,2250308
"2015-07-02",96.85,97.29,95.97,96.47,1752086
"2015-07-09",95.51,95.69,94.6,94.9,2896029
"2015-07-16",99.36,99.84,98.94,99.22,2342870
"2015-07-23",99.8,100.52,98.86,99.02,2407139
"2015-07-30",98.29,98.94,98.16,98.67,1521222
"2015-08-06",98.8,99.21,98.11,98.54,1563859
"2015-08-13",94.46,96.68,93.71,96.4,1682755
"2015-08-20",96.9,97.11,95.06,95.08,3228595
"2015-08-27",90.06,91.39,89.63,91.33,3016184
"2015-09-03",89.39,90.59,89.01,89.55,2318428
"2015-09-10",89.6,91.18,89.35,90.53,1855479
"2015-09-17",91.7,92.65,89.47,89.82,2561898
"2015-09-24",86.92,88.18,86.61,87.8,3306120
"2015-10-01",89.08,89.72,88.04,89.06,2391089
"2015-10-08",90.37,91.09,89.97,90.97,1809604
"2015-10-15",86.79,87.39,86.13,87.22,3724691
"2015-10-22",88.11,90.16,88.04,89.48,2420817
"2015-10-29",92.47,93.64,92.09,92.15,1993403
"2015-11-05",92.11,93.3,92.11,92.64,2349083
"2015-11-12",94.03,94.9,93.2,93.26,2268459
"2015-11-19",93.74,95.46,93.74,95.1,1617864
"2015-12-03",95.53,95.93,93.63,93.85,2395503
"2015-12-10",93.58,95.4,93.06,94.35,1644134
"2015-12-17",97.39,97.5,95.65,95.68,3637924
"2015-12-24",95.91,96.8,95.88,96.24,775810
"2015-12-31",95.52,96.46,95.2,95.31,1360336
"2016-01-07",90.01,90.85,88.88,89.28,2658291
"2016-01-14",85.82,87.14,85.45,86.87,4562829
"2016-01-21",84.54,86.12,83.87,84.13,2534237
"2016-01-28",85.62,86.18,84.56,84.91,2625888
"2016-02-04",83.26,85.12,83.12,84.89,2233549
"2016-02-11",79.2,80.22,77.67,78.17,5013354
"2016-02-18",84.05,84.2,82.24,82.58,2721943
"2016-02-25",82.57,82.96,82.12,82.94,2498337
"2016-03-03",85.63,86.58,85.24,86.58,1635227
"2016-03-10",85.39,86.24,84,85.14,2367630
"2016-03-17",84.59,85.52,83.82,85.2,2551285
"2016-03-24",84.72,84.87,83.82,84.8,2338662
"2016-03-31",85.2,85.57,84.31,84.57,1718166
"2016-04-07",82.97,83.1,81.06,81.47,3827125
"2016-04-14",83,85.89,82.69,84.69,3759640
"2016-04-21",87.67,88.56,87.26,87.51,2163355
"2016-04-28",88,89,87.68,88.19,2047613
"2016-05-05",85.45,86.1,85.03,85.35,2093374
"2016-05-12",86.65,87.34,85.62,86.18,1998401
"2016-05-19",87.86,88.86,87.02,87.88,2319995
"2016-05-26",90.24,90.35,89.41,89.49,2113194
"2016-06-02",89.59,90.1,89.2,90.01,1553074
"2016-06-09",88.87,89.44,87.73,88.33,1512788
"2016-06-16",83.43,84.02,82.7,83.87,2096433
"2016-06-23",85.85,86.76,85.79,86.67,2228575
"2016-06-30",81.04,81.65,80.28,81.39,3735790
"2016-07-07",79.78,80.48,78.84,79.49,5437275
"2016-07-14",83.41,83.59,82.46,82.86,3689651
"2016-07-21",82.78,83.26,82.31,82.45,2070789
"2016-07-28",82.4,83.16,81.98,83.02,1825816
"2016-08-04",84.06,84.35,83.64,83.88,2629764
"2016-08-11",85.41,85.72,85,85.5,1686514
"2016-08-18",85.73,85.93,85.24,85.46,1654230
"2016-08-25",85.62,86.08,85.54,85.87,1191000
"2016-09-01",90.29,90.64,89.19,89.99,3061180
"2016-09-08",90.53,91.13,90.24,90.72,2185997
"2016-09-15",89.06,90.64,88.82,90.32,2940364
