"","ANDV.Open","ANDV.High","ANDV.Low","ANDV.Close","ANDV.Volume"
"2013-03-14",56.3,57.06,55.89,56.95,3915184
"2013-03-21",58.43,58.78,57.36,58,2895319
"2013-03-28",57.97,58.94,57.73,58.55,2166659
"2013-04-04",52.1,53.41,51.66,52.98,3209716
"2013-04-11",53.91,54.15,51.96,52.09,4550903
"2013-04-18",49.07,50.68,48.21,49.61,2945109
"2013-04-25",55.48,55.7,54.24,54.56,3344937
"2013-05-02",52.33,54.84,50.87,53.89,4531441
"2013-05-09",57.29,57.69,55.24,56.06,4491156
"2013-05-16",58.07,59.29,56.26,58.18,7125343
"2013-05-23",61.23,62.47,60.35,62.01,2849829
"2013-05-30",61.22,61.73,60.61,61.33,2557220
"2013-06-06",57.42,58.96,56.94,58.86,3241967
"2013-06-13",57.14,58.39,56.54,58.32,2535302
"2013-06-20",56.4,56.47,54.58,55.32,4772366
"2013-06-27",54.58,54.84,52.7,52.79,2728330
"2013-07-11",51.43,53.47,51.05,53.37,3263963
"2013-07-18",53.12,53.93,50.86,51.1,3821140
"2013-07-25",53.14,54.58,53.04,54.55,2049184
"2013-08-01",57.3,57.99,56.65,57.75,2583446
"2013-08-08",53.22,53.99,52.75,53.32,4233219
"2013-08-15",51.01,51.43,49.2,49.34,4085859
"2013-08-22",47.91,49.77,47.51,49.28,3526785
"2013-08-29",46.32,46.93,45.98,46.46,2245297
"2013-09-05",46.75,46.92,46.31,46.4,2703721
"2013-09-12",46.11,46.17,44.43,44.82,4847218
"2013-09-19",45.69,46.54,45.54,45.58,4056533
"2013-09-26",45.55,45.91,44.23,44.53,3203841
"2013-10-03",43.24,43.94,42.97,43.79,4128641
"2013-10-10",42.21,43.55,41.96,43.52,6409704
"2013-10-17",45.24,48.06,45.21,47.84,5507700
"2013-10-24",49.27,49.27,46.87,47.03,4584486
"2013-10-31",48.74,50.56,48.61,48.89,3781302
"2013-11-07",48,50.9,47.75,48.29,6824338
"2013-11-14",53.41,55.27,52.89,54.95,3509032
"2013-11-21",55.35,56.8,55.17,56.73,3066452
"2013-12-05",56.11,56.6,55.49,55.61,3321573
"2013-12-12",56.11,57.38,55.96,56.94,3091838
"2013-12-19",57.22,57.5,56.22,56.39,2697419
"2013-12-26",58.21,58.79,57.98,58.48,2383498
"2014-01-02",58.2,59.07,57.26,57.96,2868883
"2014-01-09",57.08,58.02,56.93,58,4361783
"2014-01-16",52.62,53.02,51.75,52.76,4172811
"2014-01-23",52.82,53.32,51.62,52.33,2255155
"2014-01-30",51.96,52.53,51.19,51.26,1916390
"2014-02-06",47.47,48.8,46.4,47.6,9865384
"2014-02-13",48.1,49.96,48.09,49.68,2662008
"2014-02-20",50.28,51.08,49.67,50.32,3593419
"2014-02-27",51.2,51.52,50.03,50.73,2513546
"2014-03-06",51.93,53.91,51.88,53.55,3604729
"2014-03-13",54.53,54.58,52.32,52.98,3335041
"2014-03-20",51.64,52.4,51,51.7,1975841
"2014-03-27",49.64,50.5,49.04,49.48,2677937
"2014-04-03",51.16,51.77,51.13,51.35,2710587
"2014-04-10",48.72,49.32,47.69,48.11,2539218
"2014-04-17",51.91,53.19,51.64,52.88,2641856
"2014-04-24",53.91,54.39,53.15,54.21,1826645
"2014-05-01",57.44,57.65,55,57.06,4761468
"2014-05-08",53.89,54.61,53.34,53.62,2426002
