"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2015-09-14",105.96,105.98,104.85,105.25,19670648
"2015-09-15",105.5,106.82,105.11,106.49,29816906
"2015-09-16",106.51,107.19,106.14,107.09,31122246
"2015-09-17",106.98,108.72,106.64,107.13,55958542
"2015-09-18",105.23,106.6,105.17,105.35,46694780
"2015-09-21",105.93,106.55,104.73,105.68,35564176
"2015-09-22",104.06,104.42,103.13,104.1,47269522
"2015-09-23",104.38,104.66,103.64,104.18,21575348
"2015-09-24",103.17,104.19,102.27,103.8,36866409
"2015-09-25",104.91,105.01,102.28,102.92,44327229
"2015-09-28",102.48,102.55,99.69,99.99,43475900
"2015-09-29",100.24,101.26,98.75,99.47,47804261
"2015-09-30",100.89,101.87,100.5,101.76,41006011
"2015-10-01",101.94,102.23,100.59,102.22,39215031
"2015-10-02",100.8,104.01,100.48,104.01,58903890
"2015-10-05",104.78,105.78,104.55,105.5,32719112
"2015-10-06",105.25,105.6,104.18,105,32896941
"2015-10-07",105.66,105.86,104.29,105.63,37147163
"2015-10-08",105.23,106.23,104.21,106.05,49943617
"2015-10-09",106.1,106.73,105.81,106.53,23875986
"2015-10-12",106.73,106.99,106.35,106.79,16097500
"2015-10-13",106.18,107.26,106,106.1,26788994
"2015-10-14",106.1,106.63,105.49,105.93,30744508
"2015-10-15",106.32,107.68,106.18,107.67,36413408
"2015-10-16",107.9,108.18,107.38,108.12,26342935
"2015-10-19",107.98,108.81,107.74,108.74,23130292
"2015-10-20",108.54,108.78,107.81,108.18,23054058
"2015-10-21",108.73,108.84,107.48,107.52,28880069
"2015-10-22",108.48,109.8,108.17,109.71,40177779
"2015-10-23",112.29,113.24,112.07,112.78,50605356
"2015-10-26",112.7,113.07,112.27,112.85,25880164
"2015-10-27",112.7,113.24,112.52,113.08,30031914
"2015-10-28",113.25,114.02,112.34,114.02,41631418
"2015-10-29",113.5,114.03,113.38,113.84,24824649
"2015-10-30",113.89,114.08,113.3,113.33,26222151
"2015-11-02",114.29,114.74,113.39,114.61,21987026
"2015-11-03",114.38,115.42,114.21,115.01,20327683
"2015-11-04",115.39,115.47,114.54,115.02,28516446
"2015-11-05",115.12,115.4,114.11,114.71,23923088
"2015-11-06",114.51,114.92,113.76,114.79,29194669
"2015-11-09",114.36,114.51,112.86,113.57,33407465
"2015-11-10",112.97,113.39,112.63,113.28,35338293
"2015-11-11",113.59,114.14,112.95,113.14,22652033
"2015-11-12",112.65,113.23,111.96,112.04,30728713
"2015-11-13",111.57,111.69,109.78,109.84,52393235
"2015-11-16",109.74,111.44,109.48,111.42,33453817
"2015-11-17",111.61,112.29,111.21,111.49,30287161
"2015-11-18",111.94,113.74,111.83,113.63,32800327
"2015-11-19",113.68,114.23,113.49,113.71,26067684
"2015-11-20",114.24,114.57,114.14,114.48,21377262
"2015-11-23",114.53,114.94,113.66,114.15,20637590
"2015-11-24",113.42,114.32,112.84,114.05,26323509
"2015-11-25",114.19,114.36,113.91,114.15,14159935
"2015-11-27",114.4,114.54,113.92,114.31,8825093
"2015-11-30",114.6,114.65,113.65,114.02,22997742
"2015-12-01",114.48,115.16,114.34,115.16,27631349
"2015-12-02",115.23,115.75,114.28,114.45,22326713
"2015-12-03",114.76,114.96,111.84,112.51,42754345
"2015-12-04",112.84,115.33,112.62,115.14,40037322
"2015-12-07",115.22,115.29,114.07,114.62,25892101
"2015-12-08",113.44,115,113.38,114.63,30792648
"2015-12-09",114.11,114.76,112.2,112.89,48509199
