"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2016-08-25",116.48,116.97,116.36,116.61,24266264
"2016-08-26",116.66,117.54,116.08,116.78,23895963
"2016-08-29",116.81,117.25,116.79,116.94,11184872
"2016-08-30",116.73,117.09,116.16,116.56,19843301
"2016-08-31",116.38,116.56,115.95,116.44,16169794
"2016-09-01",116.48,116.88,115.91,116.74,20944727
"2016-09-02",117.32,117.56,116.68,117.12,18088215
"2016-09-06",117.29,117.85,117.06,117.85,18525231
"2016-09-07",117.95,118.12,117.47,117.92,17546872
"2016-09-08",117.57,117.6,116.92,117.23,20125319
"2016-09-09",116.23,116.51,114.26,114.28,50813287
"2016-09-12",113.64,116.49,113.63,116.33,39645960
"2016-09-13",115.73,116.09,114.73,115.29,45863935
"2016-09-14",115.43,116.47,115.38,115.84,28221762
"2016-09-15",115.89,117.82,115.86,117.64,39466531
