"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume"
"2013-07-11",163.94,165.05,163.07,164.07,1411046
"2013-07-18",162.71,164.72,162.71,164.72,1344501
"2013-07-25",163.5,164.17,162.77,163.79,1569206
"2013-08-01",160.83,161.4,158.05,158.97,1394785
"2013-08-08",157.24,157.59,155.81,156.35,848394
"2013-08-15",151.41,151.92,149.21,149.69,1365264
"2013-08-22",145.35,146.41,144.01,146.36,1250420
"2013-08-29",144.56,146.47,144,146.34,1217794
"2013-09-05",144.56,145.14,142.47,142.54,1249769
"2013-09-12",149.14,150.19,148.11,148.3,997681
"2013-09-19",155.21,157.39,154.49,154.52,2323638
"2013-09-26",150.2,151.32,149.99,151.27,1109215
"2013-10-03",150.72,151.6,147.83,148.78,1488513
"2013-10-10",150.1,152.77,149.74,152.75,1243395
"2013-10-17",156.88,159.06,155.95,158.6,1439861
"2013-10-24",158.85,160.5,158.06,160.5,1356888
"2013-10-31",155.96,156.96,154.23,154.55,1539657
"2013-11-07",156.84,157.02,154.83,155.32,1354633
"2013-11-14",149.5,152.63,149.48,152.06,1338888
"2013-11-21",150.29,150.99,149.51,150.69,902817
"2013-12-05",148.91,151.03,148.2,150.8,1520859
"2013-12-12",150.44,150.7,148.36,148.37,1568030
"2013-12-19",154.9,154.97,152.75,154,1727405
"2013-12-26",154.32,155.48,153.5,154.23,691458
"2014-01-02",152.39,153.27,151.02,152.09,1378535
"2014-01-09",154.28,154.83,152.81,154.2,1294539
"2014-01-16",156.56,157.7,156.56,157.4,836681
"2014-01-23",156.71,157.89,155.57,156.13,1481513
"2014-01-30",151.43,153.16,151.21,152.95,1817561
"2014-02-06",153.91,155.77,153.68,155.32,1422402
"2014-02-13",157.31,159.59,157.13,158.73,1100742
"2014-02-20",160.04,161,158.98,159.92,1059426
"2014-02-27",161.25,161.72,159.23,160.38,1156843
"2014-03-06",164.93,164.93,162.83,163.57,1101735
"2014-03-13",162.77,162.84,161.11,161.74,873557
"2014-03-20",159.91,160.33,157.08,160.33,1644925
"2014-03-27",159.37,161.42,158.6,161.38,1204530
"2014-04-03",165.19,165.19,163.27,164.39,875740
"2014-04-10",167.42,168.06,166.61,167.06,2057675
"2014-04-17",170.89,171.98,169.04,169.86,1856879
"2014-04-24",171.01,171.69,170.27,171.13,1013113
"2014-05-01",173.09,173.92,171.58,173.65,934091
"2014-05-08",175.94,176.68,175.5,176.05,1245091
"2014-05-15",174.05,175.05,173.27,174.88,1648401
"2014-05-22",174.53,175.24,173.94,174.02,1080631
"2014-05-29",165.78,165.9,164.37,165.29,1190812
"2014-06-05",166.6,169.99,166.14,169.84,1551084
"2014-06-12",164.72,164.81,163.28,163.89,1304636
"2014-06-19",166.13,167.33,165.05,167.27,1406958
"2014-06-26",166.41,166.47,165.12,165.79,1143369
"2014-07-03",166.68,166.68,164.94,166.13,831428
"2014-07-10",166.53,169.13,166.53,168.22,1026806
"2014-07-17",170.19,170.93,169.44,169.61,683626
"2014-07-24",170.88,171.31,169.28,171.31,1479494
"2014-07-31",169.24,169.96,168.13,168.19,1293328
"2014-08-07",165.58,166.76,165.02,165.27,1721311
"2014-08-14",169.13,169.28,167.37,168.25,1189198
"2014-08-21",170.96,171.49,170.29,170.46,865139
"2014-08-28",169.08,169.67,168.65,168.98,726198
"2014-09-04",170.76,172.07,169.86,170.3,1065957
"2014-09-11",170.3,170.99,169.32,169.92,1193528
"2014-09-18",168.17,168.17,165.36,166.02,1636493
"2014-09-25",163.55,164.26,162.49,162.71,1150815
"2014-10-02",164.71,165.59,163.41,164.49,1200631
"2014-10-09",168.2,170.65,167.86,168.66,2010738
"2014-10-16",164.76,166.88,164.13,166.27,1962099
"2014-10-23",172.32,172.88,171.02,172.44,1419631
"2014-10-30",175.51,176.89,174.87,176.89,1006994
"2014-11-06",181.67,182.11,179.78,180.08,1209850
"2014-11-13",178.33,179.74,178.22,179.56,1179066
"2014-11-20",176.43,178.9,175.6,178.87,1957748
"2014-12-04",181.79,182.4,180.29,182.05,927389
"2014-12-11",183.27,183.78,182.02,182.86,1553641
"2014-12-18",184.29,185.51,183,185.47,1292562
"2015-01-08",195.2,195.68,193.34,194.52,1640920
"2015-01-15",199.16,200.42,198.06,200.07,1469035
"2015-01-22",201.01,204.47,199.92,204.03,1432510
"2015-01-29",203.17,205.05,202.93,204.76,1255606
"2015-02-05",202.18,203.5,200.91,203.22,1055366
"2015-02-12",192.92,194.93,191.89,194.72,1238218
"2015-02-19",193.31,193.77,189.35,189.81,1168019
"2015-02-26",190.03,190.47,187.13,187.14,1431577
"2015-03-05",188.12,189.4,186.99,187.13,1422787
"2015-03-12",180.15,183.62,180.15,183.6,1826885
"2015-03-19",190.84,192.65,190.48,192.1,2209390
"2015-03-26",192.69,193.98,191.63,192.65,1803138
"2015-04-02",200,200.98,198.54,199.36,1670353
"2015-04-09",196.87,196.87,192.49,193.13,1753344
"2015-04-16",189.06,191.27,188.41,190.1,921402
"2015-04-23",189.09,190.13,188.23,189.06,1107398
