"","HSIC.Open","HSIC.High","HSIC.Low","HSIC.Close","HSIC.Volume"
"2013-05-23",47.3,47.89,47.19,47.84,619068
"2013-05-30",47.52,48.22,47.31,48.11,401814
"2013-06-06",47.12,47.36,46.43,47,1436036
"2013-06-13",48.55,48.64,47.68,48.48,750108
"2013-06-20",47.93,48.24,46.76,46.95,906380
"2013-06-27",47.84,47.97,47.62,47.62,438090
"2013-07-11",50.46,50.9,50.38,50.85,547304
"2013-07-18",51.24,51.67,51.12,51.66,539068
"2013-07-25",51.29,51.7,51.28,51.68,712302
"2013-08-01",52.52,53.4,52.03,53.23,1302506
"2013-08-08",52.5,53.1,52.4,52.93,860994
"2013-08-15",52.32,52.62,51.58,51.85,766994
"2013-08-22",51.83,52.12,51.6,51.92,444742
"2013-08-29",50.84,51.43,50.67,50.98,468860
"2013-09-05",51.14,51.49,50.72,51.29,616984
"2013-09-12",52.67,52.97,52.5,52.67,667168
"2013-09-19",52.7,52.84,52.4,52.72,443244
"2013-09-26",51.91,52.4,51.8,52.06,536210
"2013-10-03",52.32,52.44,51.63,51.96,598312
"2013-10-10",52.82,53.46,52.45,53.38,1062880
"2013-10-17",54.78,55.54,54.54,55.5,855836
"2013-10-24",55.75,55.9,55.38,55.46,738208
"2013-10-31",56.02,56.42,55.6,56.22,1228738
"2013-11-07",55.33,55.48,54.58,54.67,826114
"2013-11-14",56.63,57.4,56.3,57.4,764894
"2013-11-21",56.66,57.34,56.29,57.26,418012
"2013-12-05",56.69,56.97,56,56.22,1137626
"2013-12-12",56.25,57.08,55.76,55.86,832850
"2013-12-19",56.35,56.66,55.8,56.02,717980
"2013-12-26",57.15,57.3,56.78,57.12,337946
"2014-01-02",57,57.13,56.5,56.74,693768
"2014-01-09",58.96,59.26,58.48,58.76,895926
"2014-01-16",57.9,58,57.56,57.89,722738
"2014-01-23",58.62,58.92,58.03,58.42,862114
"2014-01-30",57.62,58,57.28,57.53,519392
"2014-02-06",55.6,56.05,55.06,55.76,721852
"2014-02-13",57.46,58.6,57.03,58.58,1216860
"2014-02-20",58.32,59.08,58.07,59,684114
"2014-02-27",59.33,59.59,58.98,59.37,579894
"2014-03-06",59.8,60.18,59.64,59.88,515372
"2014-03-13",59.92,60.18,59.12,59.24,1275580
"2014-03-20",59.09,59.48,58.92,59.32,608446
"2014-03-27",58.5,58.58,57.87,58.06,671098
"2014-04-03",60.15,60.15,59.44,59.84,942880
"2014-04-10",58.3,58.44,56.82,57.02,1053968
"2014-04-17",56.88,57.74,56.78,56.94,1080316
"2014-04-24",57.66,57.76,56.8,56.84,817436
"2014-05-01",57.42,57.5,56.72,57.14,651662
"2014-05-08",56.52,57.5,56.52,56.7,897606
"2014-05-15",57.04,57.23,56.51,57.1,666832
"2014-05-22",57.98,58.28,57.64,58.08,1059810
"2014-05-29",59.1,59.48,58.81,59.47,521632
"2014-06-05",59.63,59.91,59.3,59.59,943060
"2014-06-12",59.34,59.34,58.83,59.07,527196
"2014-06-19",59.78,59.78,59.26,59.54,452816
"2014-06-26",60.14,60.18,59.66,59.96,524616
"2014-07-03",59.82,59.96,59.52,59.84,640178
"2014-07-10",58.89,59.49,58.78,59.28,611600
"2014-07-17",59.64,59.86,59.02,59.25,925478
"2014-07-24",59.48,59.87,59.47,59.62,564852
"2014-07-31",59.1,59.14,57.99,58.12,1222772
"2014-08-07",57.98,58.04,57.28,57.42,765140
"2014-08-14",58.99,59.26,58.75,59.24,570502
"2014-08-21",59.62,59.88,59.4,59.82,520092
"2014-08-28",59.72,59.94,59.46,59.72,430738
"2014-09-04",60.5,60.5,59.18,59.36,722504
"2014-09-11",58.84,59.4,58.77,58.93,666342
"2014-09-18",58.61,58.82,58.48,58.72,608998
"2014-09-25",58.88,59.13,58.14,58.33,1204564
"2014-10-02",57.64,57.76,57.18,57.35,1026670
"2014-10-09",57.4,57.74,56.67,56.85,1222418
"2014-10-16",54.91,55.71,54.67,55.48,1540798
"2014-10-23",58.68,58.68,58.12,58.28,694452
"2014-10-30",59.5,60.15,59.4,60.1,593644
"2014-11-06",61.48,66.58,61.11,65.16,3887830
"2014-11-13",65.08,65.3,64.77,65.14,572256
"2014-11-20",65.9,67.14,65.48,65.8,617578
"2014-12-04",68.46,68.88,68.06,68.38,610814
"2014-12-11",66.9,67.88,66.86,67.5,742098
"2014-12-18",68.02,68.32,67.22,67.9,1102938
"2015-01-08",69.63,70.5,69.63,70.25,935964
"2015-01-15",69.62,70.08,68.83,68.92,476852
"2015-01-22",69.07,71.28,68.72,71.28,805366
"2015-01-29",70.48,70.48,69.48,70,1228596
"2015-02-05",70.02,70.78,69.5,70.58,437188
"2015-02-12",71.58,71.62,70.76,71.23,998158
"2015-02-19",70.9,70.9,70.26,70.43,728520
"2015-02-26",70.52,70.82,70,70.22,527722
"2015-03-05",70.49,70.89,70.08,70.31,555320
"2015-03-12",68.46,69.3,68.41,69.16,620470
"2015-03-19",69.56,70.6,69.33,70.34,1064926
"2015-03-26",68.73,69.16,68.47,68.61,919368
"2015-04-02",69.18,70.12,68.76,69.66,908610
"2015-04-09",69.88,70.92,69.78,70.9,1022878
"2015-04-16",69.88,70.18,69.46,70.13,807416
"2015-04-23",70.59,71.34,70.34,70.92,598068
"2015-04-30",69.25,69.51,68.34,68.55,1073464
"2015-05-07",68.19,68.7,68.06,68.49,1096550
"2015-05-14",69.51,70.2,68.88,70.18,775432
"2015-05-21",70.39,71.02,70.39,70.81,588096
"2015-05-28",71.3,71.56,70.88,71.33,729722
"2015-06-04",71.05,71.17,70.27,70.44,683182
"2015-06-11",71.3,71.78,71.15,71.7,785916
"2015-06-18",71.78,72.88,71.75,72.53,825298
"2015-06-25",72.28,72.46,71.99,72.24,676964
"2015-07-02",72.29,72.44,71.84,72.22,854794
"2015-07-09",72.18,72.37,71.56,71.72,501292
"2015-07-16",74.09,74.22,73.74,74.08,458742
"2015-07-23",74.53,74.53,73.56,73.68,472636
"2015-07-30",72.71,73.62,72.24,73.38,722924
"2015-08-06",73.33,73.79,72.18,72.48,669122
"2015-08-13",72.28,72.81,71.99,72.58,901130
"2015-08-20",72.78,73.88,71.29,71.3,819354
"2015-08-27",69.26,69.62,68.15,69.34,1284180
"2015-09-03",68.14,68.41,67.44,67.58,565740
"2015-09-10",66.95,67.98,66.77,67.42,477132
"2015-09-17",68.42,69.74,68.4,69.03,916652
"2015-09-24",67.15,67.68,66.46,66.92,594934
"2015-10-01",66.85,67.08,66.12,67.04,1343230
"2015-10-08",69.28,70.67,68.85,70.6,1194958
"2015-10-15",70.38,71.38,70.06,71.36,778534
"2015-10-22",73.36,74.26,72.57,74.17,1024340
"2015-10-29",75.46,75.94,74.76,75.44,1546068
"2015-11-05",77.5,77.8,76.88,77.1,1025550
"2015-11-12",76.72,77.14,76.4,76.42,981692
"2015-11-19",78.13,78.73,77.38,77.52,824344
"2015-12-03",79.66,79.73,77.86,78.15,957324
"2015-12-10",77.53,78.03,77.14,77.4,1007580
"2015-12-17",77.58,78.16,77.45,77.6,671698
"2015-12-24",78.7,78.88,78.16,78.54,213158
"2015-12-31",79.56,80.24,79.06,79.1,708174
"2016-01-07",75.74,77.02,75.58,75.84,1079430
"2016-01-14",72.66,73.65,72.32,73.3,1145248
"2016-01-21",73.26,73.3,71.88,72.07,1554660
"2016-01-28",74.07,74.56,72.82,73.25,744490
"2016-02-04",75.38,75.9,74.48,75.06,808908
"2016-02-11",77.22,79.13,77.12,78.96,1558210
"2016-02-18",81.72,82.7,81.38,81.74,1431710
"2016-02-25",84.28,84.72,83.34,84.68,1114278
"2016-03-03",84.02,84.4,83.35,83.85,878702
"2016-03-10",83.74,84.74,83.46,84.08,700478
"2016-03-17",83.56,83.62,82.22,82.84,920920
"2016-03-24",84.16,84.73,83.42,83.99,676754
"2016-03-31",86.25,86.66,85.7,86.32,1161432
"2016-04-07",85.44,85.66,83.92,84.3,842196
"2016-04-14",84.74,85.06,84.25,84.8,594860
"2016-04-21",85.76,86.07,84.56,85.02,758016
"2016-04-28",86.74,87.38,84.89,85.26,903606
"2016-05-05",83.4,84.38,83.4,84.06,798110
"2016-05-12",85.98,86.41,85.34,86.12,674240
"2016-05-19",85.04,85.82,84.55,85.44,620030
"2016-05-26",85.68,86.54,85.02,86.36,730776
"2016-06-02",86.68,88.24,86.33,88.08,1091550
"2016-06-09",89.5,90.49,89.39,90.36,795852
"2016-06-16",87.11,87.4,86.18,87.36,827296
"2016-06-23",88,88.82,87.78,88.8,600484
"2016-06-30",88.04,88.4,87.26,88.4,1326216
"2016-07-07",89.25,89.68,88.49,88.99,501232
"2016-07-14",90.8,90.86,90.38,90.72,467912
"2016-07-21",90.23,90.41,89.57,89.86,492660
"2016-07-28",89.44,90.11,89.16,89.64,493022
"2016-08-04",85.55,87,81.58,81.76,3458932
"2016-08-11",83.32,83.9,82.95,83.73,862704
"2016-08-18",80.75,80.99,80.48,80.7,955256
"2016-08-25",79.75,80.92,79.26,80.41,1779964
"2016-09-01",81.96,82.16,81.14,81.49,682746
"2016-09-08",82.08,82.33,81.64,82.06,790644
"2016-09-15",79.58,81.66,79.58,81.38,990508
