"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume"
"2014-02-20",58.88,59.68,58.87,59.44,2684924
"2014-02-27",60.83,61.45,60.69,61.37,1786808
"2014-03-06",61.27,61.87,60.97,61.58,1166766
"2014-03-13",62.3,62.79,61.46,61.51,1447713
"2014-03-20",61.99,62.49,61.86,62.36,897541
"2014-03-27",61.96,62.45,61.59,61.78,1513916
"2014-04-03",63.63,64.19,63.09,63.37,1768111
"2014-04-10",62.87,62.88,61.51,61.52,1173791
"2014-04-17",61.32,61.4,59.97,60.84,2254945
"2014-04-24",62,62.43,61.82,62.03,1125933
"2014-05-01",61.47,61.8,61.04,61.5,820010
"2014-05-08",60.55,62.36,60.55,61.28,987006
"2014-05-15",61.6,61.8,60.51,61.49,2818684
"2014-05-22",67.57,68.49,67.37,67.53,1649540
"2014-05-29",67.7,67.84,66.94,67.78,1106796
"2014-06-05",68.21,68.5,67.45,68.32,1255987
"2014-06-12",67.99,68.13,67.02,67.27,821662
"2014-06-19",68.3,68.56,68.07,68.36,972601
"2014-06-26",67.37,67.68,66.72,67.63,1157530
"2014-07-03",68.69,69.46,68.69,69.29,641888
"2014-07-10",69.26,69.67,69.1,69.18,805542
"2014-07-17",67.79,68.01,67.3,67.4,783636
"2014-07-24",67.99,69.22,67.99,68.76,787855
"2014-07-31",69.68,70.19,69.19,69.23,1047038
"2014-08-07",69.54,69.79,68.43,68.6,1054128
"2014-08-14",68.3,68.71,67.76,68.69,2820326
"2014-08-21",68.4,69.16,68.26,68.93,1298896
"2014-08-28",69.2,70.05,68.85,69.64,858269
"2014-09-04",71,71.45,70.41,70.43,1833458
"2014-09-11",68.59,69.04,68.53,68.97,961349
"2014-09-18",69.44,69.65,69.16,69.27,697877
"2014-09-25",69.02,69.44,68.32,68.41,893932
"2014-10-02",67.5,69.02,67.45,68.83,1406320
"2014-10-09",70.29,71.08,69.75,69.82,2071122
"2014-10-16",67.42,68.7,66.92,68.33,2170352
"2014-10-23",71.54,72.25,71.35,71.77,1240101
"2014-10-30",71.31,72.93,71.2,72.41,1154283
"2014-11-06",72.45,73.94,72.26,73.68,1505599
"2014-11-13",72.72,73.62,72.36,73.25,3020546
"2014-11-20",73.61,75.3,73.48,74.97,1174264
"2014-12-04",75.86,76.05,75.3,75.7,924264
"2014-12-11",74.06,75.21,73.96,74.19,1220716
"2014-12-18",77.03,77.58,76.22,77.52,1080358
"2015-01-08",79.95,80.05,79.41,79.78,1231291
"2015-01-15",77.71,78.2,75.72,75.78,964180
"2015-01-22",76.19,77.51,75.98,77.4,1132754
"2015-01-29",78.09,78.79,77.33,78.27,1078075
"2015-02-05",79.05,79.68,78.5,78.76,944558
"2015-02-12",79.24,79.46,78.58,79.37,908212
"2015-02-19",78.28,78.63,76.82,77.14,3920320
"2015-02-26",81.13,81.43,80.68,80.85,982271
"2015-03-05",80,81.49,79.75,80.65,1523601
"2015-03-12",79.5,80.42,79.45,80.28,774794
"2015-03-19",80.55,81.29,80.26,81.2,765468
"2015-03-26",79.55,79.72,78.68,79.14,1102569
"2015-04-02",79.55,80.14,79.09,79.96,1104991
"2015-04-09",80.63,80.92,79.68,80.01,1037229
"2015-04-16",78.09,78.69,77.81,78.5,1040962
"2015-04-23",78,78.81,77.96,78.49,669982
"2015-04-30",76.29,76.53,75.27,75.56,1855118
"2015-05-07",75.6,77.07,75.46,76.78,1381006
"2015-05-14",75.85,75.92,73.73,74.15,3540457
"2015-05-21",74.47,75.5,74.18,75.33,1109638
"2015-05-28",74.11,74.33,73.42,73.63,1216966
"2015-06-04",72.74,74.12,72.01,73.32,1332546
"2015-06-11",73.75,74.43,73.57,73.62,775381
"2015-06-18",75.2,75.7,75.04,75.55,1165092
"2015-06-25",76.15,76.47,75.31,75.43,852543
"2015-07-02",75.32,75.86,74.91,75.12,658007
"2015-07-09",77.24,77.24,76.2,76.47,1443429
"2015-07-16",78.68,80.23,78.34,79.52,1563588
"2015-07-23",79,79.23,77.97,78.02,785006
"2015-07-30",76.22,76.73,76.09,76.34,1018070
"2015-08-06",75.46,75.51,73.9,74.48,1459585
"2015-08-13",74.68,75.6,74.56,74.92,4088458
"2015-08-20",77.95,78.5,77.5,77.72,1054965
"2015-08-27",73.86,74.34,72.18,73.32,1994431
"2015-09-03",73.29,74.46,73.1,73.46,940361
"2015-09-10",73.02,74.25,72.94,73.76,1240073
"2015-09-17",74.49,75.42,74.05,74.32,1031157
"2015-09-24",73.19,73.49,72.71,73.09,976458
"2015-10-01",71.61,71.9,70.61,71.43,1485184
"2015-10-08",67.94,69.15,67.73,68.97,1952090
"2015-10-15",67.26,67.47,65.76,67.42,1959489
"2015-10-22",68,68.81,67.58,68.51,1572715
"2015-10-29",64.84,64.84,63.92,64.7,1095106
"2015-11-05",66.5,66.98,65.62,66.68,1674298
"2015-11-12",62.32,64.51,62.31,63.47,5491198
"2015-11-19",55.44,56,54.91,55.6,3099964
"2015-12-03",56.8,57.23,55.62,57,5176004
"2015-12-10",56.94,57.93,56.62,56.77,2627138
"2015-12-17",54.15,54.15,51.27,51.34,5953825
"2015-12-24",51.5,51.61,50.53,50.95,889431
"2015-12-31",50.21,50.55,49.72,49.81,2401604
"2016-01-07",47.07,49.63,47.02,48.5,7616510
"2016-01-14",46.06,46.54,44.63,45.79,3563068
"2016-01-21",46.29,48.22,46.15,47.74,5489266
"2016-01-28",49.68,49.81,47.48,47.99,1680237
"2016-02-04",49.28,49.28,46.8,47.43,5554919
"2016-02-11",48.58,49.37,47.97,49.19,3016968
"2016-02-18",52.16,53.07,51.17,52.72,7652458
"2016-02-25",51.9,52.76,50.65,52.43,2834839
"2016-03-03",52.54,53.22,52.15,53.06,2012295
"2016-03-10",56.29,57.08,55.63,57.01,4073745
"2016-03-17",56.85,58.5,56.5,58.22,2342275
"2016-03-24",55.9,56.07,55.45,55.97,2026547
"2016-03-31",57.47,57.88,57.12,57.21,1211359
"2016-04-07",54.38,54.67,52.21,52.45,5468324
"2016-04-14",52,52,50.69,51.3,2305183
"2016-04-21",53.6,54.42,53.21,53.28,4143370
"2016-04-28",53.37,53.82,52.6,52.73,1529899
"2016-05-05",49.37,49.38,47.64,48.71,5014664
"2016-05-12",45,46.26,43.84,45.23,12013076
"2016-05-19",36.67,37.36,36.51,37.11,6325567
"2016-05-26",37.84,38.1,37.36,37.66,3750247
"2016-06-02",38.23,39.41,38,39.3,4576281
"2016-06-09",40.58,40.58,39.09,39.57,2997135
"2016-06-16",37.19,37.2,36.33,36.78,5516498
"2016-06-23",38.26,38.63,38.09,38.25,2480544
"2016-06-30",38.03,38.11,37.4,38.05,2732860
"2016-07-07",38.34,39.54,38.34,39.15,4460093
"2016-07-14",41.48,41.8,40.68,40.87,2087602
"2016-07-21",41.14,41.68,41.01,41.24,2067050
"2016-07-28",42.67,43.36,41.77,43.27,2311973
"2016-08-04",41.5,42.34,41.1,42,2248767
"2016-08-11",47,48.91,46.66,47.56,13944024
"2016-08-18",52.13,52.39,51.62,52.07,2490553
"2016-08-25",51.85,52.42,51.24,51.56,1775212
"2016-09-01",50.76,51.11,50.43,51.03,2538917
"2016-09-08",50.77,50.84,49.85,50.07,1980869
"2016-09-15",49.31,52,48.87,51.7,5178833
