"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume"
"2013-12-05",32.53,32.71,32.05,32.21,4708968
"2013-12-12",31.93,32.38,31.82,32.12,3260267
"2013-12-19",32,32.07,31.42,31.65,3955733
"2013-12-26",31.98,32.01,31.76,31.84,1753416
"2014-01-02",31.91,31.93,31.31,31.33,3323021
"2014-01-09",31.62,31.92,31.58,31.72,7099398
"2014-01-16",31.57,31.73,31.48,31.72,2570461
"2014-01-23",32.29,32.89,32.12,32.74,5691256
"2014-01-30",33.05,33.4,32.93,33.37,2373837
"2014-02-06",33.07,33.62,32.94,33.57,2939179
"2014-02-13",34.31,34.55,34.28,34.5,3529245
"2014-02-20",35.29,37.07,35.29,36.53,12224460
"2014-02-27",36.64,36.83,36.33,36.45,2384992
"2014-03-06",35.96,35.96,35.4,35.51,3724754
"2014-03-13",35.78,36.4,35.76,36.2,3333114
"2014-03-20",36.28,36.39,35.84,36.28,3261801
"2014-03-27",37.16,37.3,36.92,37.28,1690492
"2014-04-03",37.67,38.2,37.56,38.1,2577291
"2014-04-10",38.62,38.85,38.36,38.52,3759930
"2014-04-17",39.55,39.96,39.32,39.43,2280526
"2014-04-24",39.55,39.84,39.17,39.77,2733434
"2014-05-01",41.02,41.35,39.88,40.46,6235755
"2014-05-08",39.99,39.99,39.1,39.17,3254558
"2014-05-15",38.31,38.49,37.88,37.98,2570383
"2014-05-22",37.28,37.78,37.26,37.62,3009972
"2014-05-29",38.3,38.5,38.08,38.5,4686534
"2014-06-05",38.57,39.08,38.46,39.07,2781712
"2014-06-12",37.58,37.76,37.06,37.63,2112179
"2014-06-19",39.25,39.94,39.2,39.85,3445473
"2014-06-26",39.47,39.93,39.37,39.91,2835632
"2014-07-03",39.02,39.05,38.09,38.16,4696197
"2014-07-10",38.59,39.01,38.44,38.98,2609472
"2014-07-17",37.65,37.83,37.03,37.08,3841324
"2014-07-24",37.25,37.35,36.88,37.3,1642978
"2014-07-31",35.85,35.9,35.11,35.17,4994746
"2014-08-07",34.36,34.81,34.34,34.71,3718004
"2014-08-14",35.36,35.68,35.33,35.5,2530878
"2014-08-21",36.24,36.57,36.2,36.45,3456571
"2014-08-28",36.7,37.05,36.67,37.02,1606876
"2014-09-04",36.49,36.73,36.45,36.63,2139157
"2014-09-11",36.52,37.26,36.38,37.22,3392600
"2014-09-18",37.87,38.25,37.55,37.76,2612380
"2014-09-25",37.72,37.93,37.59,37.6,3853209
"2014-10-02",37.19,37.54,37.16,37.26,2666742
"2014-10-09",38.35,38.74,37.64,37.64,3292335
"2014-10-16",36.81,37.38,36.37,37.22,4047237
"2014-10-23",39.04,39.19,38.55,38.87,2349525
"2014-10-30",39.76,40.74,39.76,40.73,4519126
"2014-11-06",41.88,41.88,40.69,40.72,6096151
"2014-11-13",39.84,39.85,39.18,39.28,4168614
"2014-11-20",40.42,40.83,40.39,40.63,2308226
"2014-12-04",41.22,41.54,40.91,41.03,2860104
"2014-12-11",41.06,41.86,41.06,41.56,2817883
"2014-12-18",41.94,42.28,41.68,42.27,3181370
"2015-01-08",41.77,42.11,41.64,41.92,3345742
"2015-01-15",42.31,42.86,42.06,42.66,1956780
"2015-01-22",44.32,44.45,43.54,43.82,3711178
"2015-01-29",43.23,43.99,43.07,43.86,4444808
"2015-02-05",42.53,42.96,42.25,42.86,2113672
"2015-02-12",40.25,40.25,39.69,39.78,3305055
"2015-02-19",40.54,40.8,40.14,40.28,2943042
"2015-02-26",42.37,42.69,42.05,42.21,3750242
"2015-03-05",41.54,41.95,41.3,41.45,3502533
"2015-03-12",40.43,41.06,40.25,40.85,3272313
"2015-03-19",42,42.4,41.52,41.87,2956122
"2015-03-26",41.47,41.78,40.96,41.18,1934029
"2015-04-02",41.28,41.74,41.26,41.34,3980733
"2015-04-09",41.62,41.67,41.2,41.27,2352974
"2015-04-16",41.24,41.55,40.65,41.32,2423661
"2015-04-23",41.89,42.1,41.76,41.96,2313216
"2015-04-30",41.68,41.77,41.02,41.54,4176031
"2015-05-07",41.93,42.36,41.76,41.96,2903049
"2015-05-14",41.95,42.31,41.85,42.28,3172347
"2015-05-21",43.32,43.78,43.15,43.76,3021110
"2015-05-28",43.16,43.38,42.82,43.05,3190437
"2015-06-04",41.2,41.5,40.82,40.91,2952614
"2015-06-11",40.45,40.64,40.17,40.4,3673115
"2015-06-18",40.44,41.29,40.42,41.18,3438058
"2015-06-25",39.81,39.97,39.04,39.14,3999301
"2015-07-02",39.7,40.2,39.7,39.94,2732308
"2015-07-09",41.5,41.82,40.99,41.2,3298133
"2015-07-16",41.08,41.92,41.05,41.89,1813138
"2015-07-23",40.73,40.73,39.41,39.76,3137540
"2015-07-30",40.47,41.31,40.39,41.26,3429343
"2015-08-06",41.15,41.65,40.72,41.6,3792356
"2015-08-13",42.3,42.53,41.8,42.31,4100115
"2015-08-20",43.16,43.91,42.9,43.2,3200362
"2015-08-27",40.51,40.95,40.23,40.94,2749014
"2015-09-03",39.16,39.58,39,39.36,2744136
"2015-09-10",38.64,39.28,38.58,38.88,2914123
"2015-09-17",40.12,41.16,39.81,40.6,2762297
"2015-09-24",39.77,40.28,39.68,40.15,4981951
"2015-10-01",42.16,42.29,41.12,41.34,3745908
"2015-10-08",42.2,42.95,42.03,42.9,3222005
"2015-10-15",42.7,43.42,42.55,43.34,2375006
"2015-10-22",43.38,43.84,43.3,43.62,3987891
"2015-10-29",41.2,41.48,40.52,41.44,4561392
"2015-11-05",41.01,41.29,40.67,40.69,2572799
"2015-11-12",39.07,39.53,38.78,38.98,2534058
"2015-11-19",39.08,39.65,38.9,39.52,2946798
"2015-12-03",38.24,38.6,37.92,38.16,3417451
"2015-12-10",38.19,38.26,37.41,37.43,3483439
"2015-12-17",38.27,38.44,37.84,38.11,2902447
"2015-12-24",38.54,38.72,38.53,38.6,840973
"2015-12-31",38.91,38.95,38.18,38.69,2711218
"2016-01-07",38.16,38.92,38.02,38.81,3723888
"2016-01-14",38.7,40,38.7,39.74,4829062
"2016-01-21",38.96,39.31,38.58,39.09,3720782
"2016-01-28",39.71,40.68,39.36,40.37,2145294
"2016-02-04",42.19,42.83,42.06,42.42,3152734
"2016-02-11",42.46,42.82,41.78,41.89,3440287
"2016-02-18",41.94,43.05,41.66,42.84,3390863
"2016-02-25",43.5,43.75,43.28,43.74,2004293
"2016-03-03",43.16,43.95,42.6,43.86,4080615
"2016-03-10",44.9,45.1,44.44,45.02,2372846
"2016-03-17",45.44,46.15,45.21,46.05,3761711
"2016-03-24",46.07,46.28,45.8,46.04,2119501
"2016-03-31",46.67,47.22,46.54,47.14,4455004
"2016-04-07",46,46.38,45.8,45.9,2582541
"2016-04-14",45.75,46.01,45.54,45.86,1732772
"2016-04-21",45.82,45.97,44.62,44.89,3644567
"2016-04-28",45.69,46.28,45.57,46.28,2588410
"2016-05-05",46.7,47.11,46.24,46.45,2079826
"2016-05-12",46.33,46.61,46.09,46.36,2802582
"2016-05-19",44.11,44.8,43.82,44.79,2291945
"2016-05-26",43.77,44.46,43.77,44.26,2672054
"2016-06-02",44.9,45.13,44.49,44.85,3056809
"2016-06-09",44.28,44.74,44.28,44.62,2610149
"2016-06-16",44.32,44.71,44.22,44.58,2246462
"2016-06-23",44.1,44.31,43.82,44.3,2961032
"2016-06-30",45.43,46.61,45.24,46.61,4815196
"2016-07-07",46.52,46.6,45.44,45.55,2578240
"2016-07-14",45.74,45.95,45.4,45.72,2774126
"2016-07-21",45.3,46,45.13,45.97,2047030
"2016-07-28",45.07,45.31,44.99,45.08,2566467
"2016-08-04",44.78,45.04,44.44,44.61,1793198
"2016-08-11",43.79,43.92,43.52,43.92,2770673
"2016-08-18",43.72,44.21,43.72,44.21,2403631
"2016-08-25",43.65,43.8,43.5,43.56,1346214
"2016-09-01",42.74,42.8,42.45,42.59,4042553
"2016-09-08",42.26,43.19,42.24,43.12,2880489
"2016-09-15",41.44,41.97,41.33,41.95,2871713
