"","ULTA.Open","ULTA.High","ULTA.Low","ULTA.Close","ULTA.Volume"
"2015-07-16",169,169.31,166.23,167.32,1213252
"2015-07-23",170.43,171.21,168.91,169.22,601527
"2015-07-30",166.3,167,165.01,166.82,447370
"2015-08-06",167.27,167.96,163.4,164.8,629629
"2015-08-13",167.24,170.94,167.13,169.28,572242
"2015-08-20",171.67,172.91,168.75,171.3,840614
"2015-08-27",160.87,162.99,159.31,160.24,2406131
"2015-09-03",158.6,160.87,158.26,158.93,948696
"2015-09-10",162,165.29,161.4,164.83,1369619
"2015-09-17",164.49,169.25,163.92,168.14,1040525
"2015-09-24",167.08,168.69,165.79,168.01,541658
"2015-10-01",164.26,165.59,162.78,165.59,826930
"2015-10-08",164.63,165.78,162.42,163.94,597348
"2015-10-15",160.3,161.21,158.04,161.06,701171
"2015-10-22",168.99,170.25,167.71,168.02,437288
"2015-10-29",172.07,173.5,171.12,173.3,456479
"2015-11-05",170.58,173.18,169.5,172.53,439943
"2015-11-12",170.23,171.48,169.24,169.36,623440
"2015-11-19",165.24,165.75,163.25,164.5,531055
"2015-12-03",164.41,165.36,161,163.19,2097385
"2015-12-10",183.61,185.81,182.93,183.11,843438
"2015-12-17",188,188.48,184.76,185.43,778326
"2015-12-24",185.93,186.7,184.53,184.93,253117
"2015-12-31",184.61,185.99,183.83,185,633765
"2016-01-07",179.8,186.49,179.8,182.98,1034469
"2016-01-14",179.09,180.37,173.86,177.88,1602898
"2016-01-21",174.5,180.58,173.1,176.5,1213337
"2016-01-28",175.83,175.84,171.29,174.34,763726
"2016-02-04",173.55,173.55,167.5,168.88,1293259
"2016-02-11",152.54,154.66,150.1,153.31,1200591
"2016-02-18",155.33,155.95,147.25,154.55,3665431
"2016-02-25",161.52,164.27,160.88,164.25,1407120
"2016-03-03",167.41,171.19,166,169.38,1123259
"2016-03-10",159.56,164.32,158.5,163.39,3550012
"2016-03-17",189.44,190.68,187.46,188.01,1029247
"2016-03-24",191.4,192.71,190.62,191.76,620018
"2016-03-31",193.87,194.94,192.62,193.74,737320
"2016-04-07",194.12,195.04,191.85,194.12,793006
"2016-04-14",207.72,207.72,204.66,205.67,1364723
"2016-04-21",204.62,207.67,204.39,205.86,855097
"2016-04-28",211.51,211.97,206.58,206.99,891109
"2016-05-05",209.78,209.78,204.46,206.21,844002
"2016-05-12",203.7,208.41,203,207.43,761616
"2016-05-19",205,208.63,205,207.89,522793
"2016-05-26",214,214.44,211.55,213.69,1773222
"2016-06-02",236.24,238.76,234.81,237.06,781182
"2016-06-09",237.73,240.51,237.73,240.01,550430
"2016-06-16",237.08,240.41,236.63,239.82,562632
"2016-06-23",240.05,242.23,238.34,242.08,601680
"2016-06-30",242,244,240.18,243.64,615012
"2016-07-07",247.67,248.68,245.06,247.29,514576
"2016-07-14",251.95,255.3,251.3,255.11,786061
"2016-07-21",255.15,256.78,254.62,254.91,449538
"2016-07-28",257.42,260.66,257.04,260.48,428581
"2016-08-04",258.33,260.69,256.64,260.68,532118
"2016-08-11",264,266.19,262.78,265.95,452193
"2016-08-18",266.34,271.96,266.34,271.59,835203
"2016-08-25",272.6,274.5,269.71,271.45,2178469
"2016-09-01",246.67,248.44,244.68,245.52,682612
"2016-09-08",244.93,245.9,243,243.57,936426
"2016-09-15",232.74,234.55,230.1,232.99,1478169
