"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume"
"2014-11-13",81.83,82.8,81.48,81.68,1931013
"2014-11-20",82.9,83.28,82.04,82.23,1232139
"2014-12-04",83.3,83.99,83.2,83.56,1037058
"2014-12-11",83.21,85.21,83.12,84.9,1642516
"2014-12-18",87.34,88.71,87.08,88.7,1627491
"2015-01-08",87.94,88.73,87.8,88.29,1018479
"2015-01-15",87.41,88.64,87,88.49,1482739
"2015-01-22",90.04,90.33,88.71,89.42,1503876
"2015-01-29",88.67,90.06,88.27,89.9,1200952
"2015-02-05",87.48,88.13,85.6,86.52,2212510
"2015-02-12",81.08,81.28,80.26,80.65,1509757
"2015-02-19",80.44,80.8,79.45,79.76,812706
"2015-02-26",79.71,79.83,78.95,79.2,1028067
"2015-03-05",76.84,77.31,76.62,77.02,846204
"2015-03-12",75.12,76.69,75.12,76.26,1207781
"2015-03-19",77.95,78.95,77.67,77.94,2430929
"2015-03-26",76.55,77.35,75.9,76.52,963379
"2015-04-02",77.57,78.08,77.28,77.67,841396
"2015-04-09",77.78,78.17,76.69,77.01,1130128
"2015-04-16",77.73,77.95,76.68,77.36,849021
"2015-04-23",77.86,79.22,77.68,78.57,941200
"2015-04-30",78.34,78.34,76.64,77.18,1249760
"2015-05-07",76.21,76.95,75.77,76.47,1139175
"2015-05-14",74.06,74.65,73.9,74.23,1156110
"2015-05-21",76.08,76.4,75.66,76.12,830648
"2015-05-28",76.24,76.82,75.93,76.55,1068511
"2015-06-04",73.51,74.48,73.39,73.76,1028227
"2015-06-11",71.2,71.75,70.72,71.42,1744112
"2015-06-18",71.32,72.36,71.32,72.04,1953447
"2015-06-25",70.52,70.53,69.46,69.47,786133
"2015-07-02",72.24,72.67,71.57,71.88,1394070
"2015-07-09",73.47,73.73,72.37,72.52,1266202
"2015-07-16",72.36,73.44,72.36,72.97,1482984
"2015-07-23",70.69,70.79,69.15,69.7,1705450
"2015-07-30",69.9,71.09,69.72,70.36,1026709
"2015-08-06",67.86,69.49,67.23,69.44,1771773
"2015-08-13",70.01,70.06,69.08,69.79,1243377
"2015-08-20",70.37,71.56,70.11,70.56,1174458
"2015-08-27",64.48,65.91,64.48,65.81,2358760
"2015-09-03",62.81,63.41,62.62,62.99,1107680
"2015-09-10",61.83,62.77,61.76,62.03,1781667
"2015-09-17",63.93,65.46,63.8,64.42,1043430
"2015-09-24",62.39,63.74,62.3,63.59,1629012
"2015-10-01",65.16,65.26,63.9,64.41,1230573
"2015-10-08",66.75,68.22,66.24,67.67,1426664
"2015-10-15",68.18,69.2,67.69,69.08,1094685
"2015-10-22",69.62,70.13,69.32,70.06,1037417
"2015-10-29",67.38,67.64,66.02,67.5,1180163
"2015-11-05",69.2,69.55,67.83,68.06,1156513
"2015-11-12",65.84,66.49,65.38,65.8,1778080
"2015-11-19",65.98,66.21,65.26,65.84,1408157
"2015-12-03",64.97,65.25,64.18,64.36,1130101
"2015-12-10",67.97,68.04,65.66,65.71,1787283
"2015-12-17",67.1,67.67,66.38,67.23,1315741
"2015-12-24",68.58,68.94,68.31,68.69,396340
"2015-12-31",69.11,69.11,67.65,68.36,878085
"2016-01-07",67.91,68.61,67.28,67.54,1443630
"2016-01-14",68.28,69.59,67.76,69.1,1157758
"2016-01-21",66.58,67.08,65.64,66.68,1114619
"2016-01-28",69.49,70.91,69.12,70.56,907878
"2016-02-04",73.12,74.48,72.19,72.3,1359642
"2016-02-11",71,71.51,70.21,70.54,1503208
"2016-02-18",71.55,73.93,70.8,73.44,2388093
"2016-02-25",73.64,74.33,73.13,74.25,933296
"2016-03-03",73.2,73.3,71.78,73.14,1153329
"2016-03-10",75.31,76.14,75.16,75.98,1575005
"2016-03-17",78.15,79.16,77.74,78.94,1109510
"2016-03-24",77.84,78.99,77.59,78.84,846449
"2016-03-31",79.23,79.72,78.88,79.28,1647924
"2016-04-07",76.95,77.74,76.84,77.19,1351005
"2016-04-14",76.34,76.8,75.65,75.84,1419531
"2016-04-21",74.44,74.44,73.25,73.51,2241042
"2016-04-28",73.95,74.62,73.52,74.43,1524539
"2016-05-05",76.93,77.76,76.56,76.85,1599976
"2016-05-12",76.69,77.26,76.33,77.07,1284907
"2016-05-19",73.07,74.38,72.67,74.32,1182714
"2016-05-26",74.38,75.65,74.38,75.58,817037
"2016-06-02",76.27,76.91,75.84,76.89,1351533
"2016-06-09",78.5,78.86,77.75,78.68,2088821
"2016-06-16",78.03,78.7,77.74,78.45,909860
"2016-06-23",77.86,78.3,77.37,78.29,1001626
"2016-06-30",79.16,81.36,78.88,81.35,2122948
"2016-07-07",81.9,82.01,80.17,80.5,1139043
"2016-07-14",80.48,80.76,79.55,79.79,1407169
"2016-07-21",79.75,80.24,79.29,80.23,803901
"2016-07-28",80.04,80.67,79.93,80.52,638793
"2016-08-04",80.33,80.93,79.75,80.01,956178
"2016-08-11",78.92,79.45,78.73,79.27,1009376
"2016-08-18",77.96,79.3,77.86,79.28,1027632
"2016-08-25",78.87,79.3,78.66,79.08,620038
"2016-09-01",78.15,78.45,77.53,77.65,1586640
"2016-09-08",79.95,81.32,79.95,80.78,1855793
"2016-09-15",76.84,77.75,76.61,77.63,681922
