"","VAR.Open","VAR.High","VAR.Low","VAR.Close","VAR.Volume"
"2013-02-28",69.34,71.08,69.22,70.63,1207429
"2013-03-07",72.29,73.12,71.98,72.13,643966
"2013-03-14",74.46,74.46,73.58,74.06,682181
"2013-03-21",72.1,72.8,71.81,72.17,547308
"2013-03-28",71.69,72.08,71.47,72,838828
"2013-04-04",71.5,71.73,71.11,71.35,458757
"2013-04-11",71.64,72.71,71.64,72.3,435209
"2013-04-18",67.55,68.07,66.35,66.57,968435
"2013-04-25",65,65.9,63.1,64.02,3706609
"2013-05-02",64.53,64.77,64.14,64.46,615742
"2013-05-09",67.34,68.34,66.62,68.21,901180
"2013-05-16",69.61,69.61,68.43,68.98,834759
"2013-05-23",68.1,68.4,67.32,67.89,614223
"2013-05-30",68.19,68.73,67.75,68.49,288393
"2013-06-06",67.84,68.19,66.93,68.18,621527
"2013-06-13",68.22,69.66,67.73,69.58,429640
"2013-06-20",68.21,68.32,66.78,66.98,555455
"2013-06-27",66.06,66.79,65.94,66.63,1856034
"2013-07-11",67.82,69.1,67.63,68.27,860695
"2013-07-18",70.75,71.59,70.75,71.57,791377
"2013-07-25",71.6,74.93,70.8,74.1,2920114
"2013-08-01",73.2,73.26,72.35,73.2,712981
"2013-08-08",72.82,74.05,72.82,73.76,595508
"2013-08-15",72.81,73.14,72.13,72.26,364514
"2013-08-22",71.92,73.02,71.92,72.77,255656
"2013-08-29",70.72,72.33,70.72,71.4,600230
"2013-09-05",71.73,72.13,71.46,71.89,793296
"2013-09-12",74.79,74.94,74.07,74.34,717141
"2013-09-19",75.92,75.94,75.1,75.59,316732
"2013-09-26",74.48,74.68,73.6,74.08,624903
"2013-10-03",74.66,74.85,73.66,74.36,747087
"2013-10-10",76.19,77.39,76.11,77.37,822040
"2013-10-17",78.63,78.83,78,78.55,895074
"2013-10-24",74.75,75.21,72.71,73.3,3121553
"2013-10-31",72.74,73.09,72.08,72.58,1456691
"2013-11-07",73.68,73.91,72.73,72.83,543186
"2013-11-14",74.24,74.96,73.9,74.94,405196
"2013-11-21",74.56,75.25,74.43,75.2,406027
"2013-12-05",79.71,80.32,78.72,78.85,1177921
"2013-12-12",76.97,76.98,75.64,75.89,829291
"2013-12-19",78.26,78.26,76.42,76.77,529794
"2013-12-26",76.96,76.96,76.23,76.73,319102
"2014-01-02",77.61,77.86,77.25,77.34,826123
"2014-01-09",79.88,81.44,79.88,81.29,835935
"2014-01-16",81.28,82.53,81.26,82.52,782262
"2014-01-23",83.11,84.24,82,83.51,2390584
"2014-01-30",82,82.58,81.8,82.35,627234
"2014-02-06",78.49,78.99,78.32,78.94,471304
"2014-02-13",80.55,81.4,79.97,81.37,505904
"2014-02-20",81.86,84.44,81.22,84.1,863710
"2014-02-27",82.89,83.42,82.06,83.4,574511
"2014-03-06",84.31,84.71,84.09,84.41,311090
"2014-03-13",84.91,84.94,83.86,84.09,462361
"2014-03-20",84.33,84.94,83.98,84.25,455537
"2014-03-27",82.18,82.53,81.56,82.26,480395
"2014-04-03",84.64,84.83,84.11,84.8,1027957
"2014-04-10",83.75,83.75,81.07,81.08,955796
"2014-04-17",80.63,80.85,79.62,80.28,871493
"2014-04-24",78.5,80.32,78.32,78.74,1551019
"2014-05-01",79.26,79.56,78.67,79.08,1042432
"2014-05-08",80.39,81.19,80.39,80.92,628636
"2014-05-15",81.91,82.11,80.36,80.77,600697
"2014-05-22",81.26,81.78,80.86,81.36,349462
"2014-05-29",82.55,83.22,82.43,82.5,268957
"2014-06-05",81.8,82.36,81.43,81.82,398667
"2014-06-12",81.16,81.72,80.53,81.69,428793
"2014-06-19",83.75,84.08,83.52,83.71,416851
"2014-06-26",83.88,84.02,82.99,84,352195
"2014-07-03",84,84.37,83.78,84.28,304797
"2014-07-10",84.58,85.43,84.21,85.26,501271
"2014-07-17",84.43,84.7,83.23,83.25,441211
"2014-07-24",84.4,85.25,82.03,83.36,2200460
"2014-07-31",82.91,83.22,82.12,82.15,455489
"2014-08-07",83.57,84.35,82.99,83.55,1011155
"2014-08-14",85.4,85.77,85.1,85.34,477457
"2014-08-21",84.46,84.91,84.25,84.51,450686
"2014-08-28",84.6,85,84.08,84.81,527497
"2014-09-04",85.32,85.8,84.65,84.79,251974
"2014-09-11",85.51,86.17,85.26,85.97,328727
"2014-09-18",82.89,82.89,82.38,82.73,984976
"2014-09-25",82.13,82.43,80.88,80.89,631473
"2014-10-02",79.96,80.68,79.26,80.06,1081433
"2014-10-09",80.38,80.83,79.55,79.86,601770
"2014-10-16",77.67,79.64,77.29,78.97,917630
"2014-10-23",78.03,79.85,77.7,79.69,3226960
"2014-10-30",82.74,84.34,82.54,84,610322
"2014-11-06",84.45,85.3,84.12,85.17,734087
"2014-11-13",87.32,88.92,87.12,88.68,1298683
"2014-11-20",87.47,88.04,86.99,87.88,473755
"2014-12-04",87.76,88,87.09,87.34,500820
"2014-12-11",86.63,87.11,86.05,86.23,615943
"2014-12-18",86.85,87.18,85.79,87.17,719108
"2015-01-08",87.34,88.86,87.34,88.84,728171
"2015-01-15",87.23,87.53,86.13,86.15,411094
"2015-01-22",87.09,88.4,86.29,88.25,730500
"2015-01-29",88.59,95.7,88.55,94.04,3432108
"2015-02-05",92.15,93.33,91.73,92.05,757363
"2015-02-12",92.56,92.98,91.84,92.62,619327
"2015-02-19",93.72,93.97,92.11,92.61,505575
"2015-02-26",93.69,93.84,92.35,92.45,567470
"2015-03-05",93.84,94.4,93.47,94.22,453586
"2015-03-12",93.2,94.74,92.95,94.64,556044
"2015-03-19",94.18,94.8,93.7,94.79,483787
"2015-03-26",92.56,93.33,92.08,92.87,512582
"2015-04-02",93.23,93.98,92.56,93.79,401366
"2015-04-09",93.92,94.44,93.2,94.17,564734
"2015-04-16",94.57,95.26,94.12,95.09,468219
"2015-04-23",95.83,96.67,95.66,96.14,451152
"2015-04-30",89.9,89.98,87.16,88.85,2723511
"2015-05-07",87.09,87.73,86.84,87.19,848444
"2015-05-14",86.83,87.69,86.77,87.59,1006901
"2015-05-21",87.41,87.63,87.07,87.51,828895
"2015-05-28",87.04,87.62,86.59,87.4,758821
"2015-06-04",87.29,87.79,86.59,86.69,907762
"2015-06-11",86.48,86.89,86.15,86.63,608091
"2015-06-18",86.73,88.08,86.28,87.71,809991
"2015-06-25",86.02,86.56,85.2,85.32,715340
"2015-07-02",84.51,86.08,84.51,85.91,1382608
"2015-07-09",85.73,86.12,84.97,84.98,678520
"2015-07-16",87.69,88.49,87.35,87.86,464639
"2015-07-23",87.95,88.18,87.38,87.58,354067
"2015-07-30",87.89,89.08,84.08,86,2448076
"2015-08-06",87.61,87.73,86.08,86.55,439367
"2015-08-13",86.79,87.5,86.09,87.01,476907
"2015-08-20",85.78,86.39,85.04,85.08,579227
"2015-08-27",80.9,81.92,79.56,81.82,993191
"2015-09-03",81,81.73,80.56,80.75,456797
"2015-09-10",79.33,80.14,79.18,79.58,692016
"2015-09-17",78.89,79.5,78.26,78.64,1197119
"2015-09-24",76.14,76.44,75.03,75.75,1158103
"2015-10-01",73.96,73.98,73.06,73.73,745648
"2015-10-08",76.41,77.61,76.19,77.42,798617
"2015-10-15",75.78,76.98,75.54,76.97,906478
"2015-10-22",75.52,76.37,74.96,75.9,1054126
"2015-10-29",75.29,78.7,74.98,78.55,1025272
"2015-11-05",79.74,80.48,79.28,80.34,801035
"2015-11-12",79.49,80.08,78.4,78.5,1060928
"2015-11-19",79.25,79.7,79.14,79.38,412780
"2015-12-03",81.31,81.66,79.4,79.63,612562
"2015-12-10",78.73,79.1,78.33,78.61,479002
"2015-12-17",79.75,79.75,78.26,78.45,762154
"2015-12-24",80.72,81.44,80.72,81.12,141762
"2015-12-31",80.92,81.48,80.8,80.8,414248
"2016-01-07",77.19,77.68,76.27,76.8,1059141
"2016-01-14",75.47,76.54,74.51,76.06,631785
"2016-01-21",75.65,75.7,74.16,74.81,815486
"2016-01-28",75.5,76.02,74.56,75.13,2647001
"2016-02-04",75.4,76.55,75.09,75.9,1020570
"2016-02-11",75.83,76.89,74.56,75.19,894685
"2016-02-18",78.71,79.36,78.17,78.23,621165
"2016-02-25",77.91,79.07,77.54,79.05,561461
"2016-03-03",78.76,79.15,78.16,79.07,534884
"2016-03-10",78.09,78.65,77.06,77.72,770077
"2016-03-17",77.38,77.71,75.92,76.73,675635
"2016-03-24",78.02,78.16,77.17,77.73,392419
"2016-03-31",79.71,80.4,79.64,80.02,705581
"2016-04-07",81.31,81.46,80.02,80.41,488492
"2016-04-14",82.66,83.8,82.57,83.5,673160
"2016-04-21",85.46,86.1,84.57,85.01,656907
"2016-04-28",82.94,85.52,82.07,82.43,1469246
"2016-05-05",81.25,81.65,81.03,81.28,686052
"2016-05-12",82.17,82.47,81.69,82.26,671111
"2016-05-19",83.02,83.32,82.39,82.91,490032
"2016-05-26",82.49,82.69,81.8,81.9,664625
"2016-06-02",82.52,83.64,82.52,83.64,587351
"2016-06-09",85.49,86.24,84.79,85.57,600512
"2016-06-16",82.35,82.4,81.13,81.81,970008
"2016-06-23",83.9,84.31,83.66,84.31,769679
"2016-06-30",80.73,82.23,80.49,82.23,868264
"2016-07-07",82.74,83.86,82.73,83.82,763272
"2016-07-14",86.95,86.97,86.33,86.55,336265
"2016-07-21",86.9,87.24,86.34,86.73,560016
"2016-07-28",90.37,94.33,90.1,94.03,1894807
"2016-08-04",94.63,95.21,94.59,94.82,648019
"2016-08-11",95.34,95.49,95.05,95.14,461742
"2016-08-18",93.58,93.95,93.42,93.95,438642
"2016-08-25",94.32,95.33,93.87,94.64,574919
"2016-09-01",96.36,96.45,95.28,95.89,424422
"2016-09-08",97.15,97.48,96.91,97,411594
"2016-09-15",94.6,96.39,94.45,96.15,515462
