"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume"
"2012-11-15",24.5,24.54,24.08,24.22,15780318
"2012-11-29",25.89,26.15,25.75,25.9,12832504
"2012-12-06",25.75,26.92,25.6,26.85,49866082
"2012-12-13",26.75,27.16,26.48,26.59,14360430
"2012-12-20",27.26,27.3,26.85,27.1,9798870
"2012-12-27",26.54,26.82,26.36,26.62,9167294
"2013-01-03",27.54,27.8,27.5,27.68,14670382
"2013-01-10",27.38,27.58,27.15,27.27,14368486
"2013-01-17",27.4,27.45,27.11,27.25,9013104
"2013-01-24",27.37,27.45,27.03,27.28,23473426
"2013-01-31",27.94,28.24,27.88,28.06,10585648
"2013-02-07",28.02,28.03,27.58,27.93,9123432
"2013-02-14",27.76,27.9,27.68,27.78,8899588
"2013-02-21",26.54,26.82,26.26,26.68,13899010
"2013-02-28",27.32,27.58,27.22,27.42,10436268
"2013-03-07",28.55,29.25,28.54,29.12,18250822
"2013-03-14",29.26,29.38,28.7,28.84,14723306
"2013-03-21",28.65,28.71,28.38,28.52,8307328
"2013-03-28",28.46,28.63,28.43,28.48,7620590
"2013-04-04",28.8,29.16,28.8,29.06,7568680
"2013-04-11",28.98,29.5,28.9,29.29,10417256
"2013-04-18",29.18,29.24,28.75,28.86,8921456
"2013-04-25",30,30.32,29.96,30.25,16608932
"2013-05-02",30.22,30.34,29.8,30.19,6238110
"2013-05-09",31.33,31.45,31.02,31.18,8277542
"2013-05-16",32,32.03,31.72,31.78,6661236
"2013-05-23",31.84,31.91,31.52,31.76,8258548
"2013-05-30",31.94,32.02,31.73,31.74,8800906
"2013-06-06",31.18,31.53,31.16,31.51,8625308
"2013-06-13",32.27,33.1,32.04,32.98,11910182
"2013-06-20",32.91,33.16,32.52,32.61,11608580
"2013-06-27",33.14,33.25,32.82,32.84,6308110
"2013-07-11",34.34,34.76,34.18,34.67,8385998
"2013-07-18",34.22,34.5,34.02,34.24,8537754
"2013-07-25",33.47,34.15,33.36,34.08,16091180
"2013-08-01",36.14,36.86,36.04,36.74,12854432
"2013-08-08",36.38,36.7,36.2,36.47,5925372
"2013-08-15",35.66,35.68,35.16,35.37,7198878
"2013-08-22",35.54,36.13,35.5,35.95,5399876
"2013-08-29",35.36,35.92,35.25,35.59,5510320
"2013-09-05",36.12,36.38,36,36.02,4931220
"2013-09-12",37.75,37.96,37.56,37.84,7628760
"2013-09-19",38.76,38.92,38.15,38.18,8047500
"2013-09-26",38.32,38.64,38.16,38.59,4988814
"2013-10-03",38.48,38.73,38.16,38.44,8266436
"2013-10-10",38.14,38.66,38.06,38.56,6638096
"2013-10-17",38.84,39.42,38.72,39.37,6562580
"2013-10-24",39.68,39.72,39.26,39.52,13508366
"2013-10-31",39.34,40.81,39.29,40.52,20491552
"2013-11-07",40.65,40.68,39.5,39.54,13283288
"2013-11-14",40.76,40.77,40.39,40.57,7647688
"2013-11-21",39.9,40.82,39.88,40.76,13139094
"2013-12-05",39.78,40.12,39.66,39.86,6569194
"2013-12-12",38.11,38.54,38,38.24,9651038
"2013-12-19",39.12,39.25,38.51,38.58,11406282
"2013-12-26",39.36,39.51,39.22,39.44,4391338
"2014-01-02",39.04,39.14,38.5,38.58,8528022
"2014-01-09",39.04,39.05,38.4,38.8,8370276
"2014-01-16",37.91,38.1,37.56,37.64,9110924
"2014-01-23",36.74,36.86,35.84,36.7,30451212
"2014-01-30",36.14,36.22,35.66,35.96,15181598
"2014-02-06",35.33,36.4,35.28,36.18,13819714
"2014-02-13",36.78,37.34,36.7,37.34,8477256
"2014-02-20",36.7,36.86,36.24,36.78,8553032
"2014-02-27",35.81,36.12,35.72,36.1,11298448
"2014-03-06",35.92,36.67,35.88,36.34,13781048
"2014-03-13",37.92,38.21,37.02,37.22,11380782
"2014-03-20",38.14,38.56,37.8,38.48,13851476
"2014-03-27",36.54,36.98,36.34,36.7,12675658
"2014-04-03",36.93,37.17,36.41,36.54,7165454
"2014-04-10",36.37,36.37,35.08,35.11,13375470
"2014-04-17",35.28,35.7,35.07,35.08,9245966
"2014-04-24",35.76,36.02,35.06,35.54,15577016
"2014-05-01",35.38,35.6,35.16,35.56,7919194
"2014-05-08",34.8,35.25,34.67,34.79,7531344
"2014-05-15",35.13,35.16,34.64,34.92,9124686
"2014-05-22",35.18,35.88,35.15,35.7,7359636
"2014-05-29",36.76,36.78,36.32,36.56,6448878
"2014-06-05",37.18,37.57,37.1,37.36,5188766
"2014-06-12",37.34,37.35,36.86,36.98,7193748
"2014-06-19",38.28,38.75,38.23,38.62,12555078
"2014-06-26",39,39.16,38.74,39.03,6983266
"2014-07-03",39.2,39.7,39.07,39.53,6662616
"2014-07-10",39.3,39.52,39.1,39.42,4720762
"2014-07-17",39.06,39.23,38.56,38.62,8446350
"2014-07-24",39.8,40.32,39.58,40.22,16129286
"2014-07-31",39.26,39.35,38.76,38.84,8147584
"2014-08-07",38.66,38.72,38.28,38.36,5427964
"2014-08-14",38.74,38.75,38.08,38.31,10892582
"2014-08-21",38.9,39.08,38.7,38.74,4811992
"2014-08-28",38.9,39.02,38.76,38.9,3958032
"2014-09-04",38.4,38.69,38.38,38.58,5749790
"2014-09-11",38.49,38.5,38.04,38.06,9365624
"2014-09-18",37.8,37.94,37.5,37.86,8028914
"2014-09-25",37.59,37.64,37.04,37.06,8010814
"2014-10-02",37.2,37.5,36.89,37.22,8573520
