"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume"
"2014-02-13",79.53,81.17,78.53,80.96,5583288
"2014-02-20",84.17,84.58,83.74,84.36,2835081
"2014-02-27",79.61,79.85,79.08,79.59,4270873
"2014-03-06",79.04,79.85,78.76,79.52,3458071
"2014-03-13",79.22,79.58,78.58,78.99,2519463
"2014-03-20",79.33,80.21,78.84,80.05,1805973
"2014-03-27",81.58,82.48,81.17,82.08,2516075
"2014-04-03",84.31,85.41,84.2,85.36,2834644
"2014-04-10",83.24,84.08,82.72,82.72,3384889
"2014-04-17",83.97,85.19,83.74,85.11,4798124
"2014-04-24",87.79,88.39,87.38,87.96,2631462
"2014-05-01",86.77,87.23,86.36,87.04,3636180
"2014-05-08",88.58,89.97,86.83,88.03,3996718
"2014-05-15",89.86,89.86,88.18,88.92,3450680
"2014-05-22",90.26,90.8,89.86,90.34,2098514
"2014-05-29",91.95,93.24,91.72,93.06,4409630
"2014-06-05",92.68,93.36,92.31,93.17,1914240
"2014-06-12",95.78,97.15,95.75,96.31,3204672
"2014-06-19",99.13,100.4,98.98,100.02,3091000
"2014-06-26",99.61,99.7,98.72,99.69,1947730
"2014-07-03",99.85,100.22,99.4,100.03,1086170
"2014-07-10",98.42,99.62,97.88,99.22,2202967
"2014-07-17",100,101.5,98.81,98.91,2912603
"2014-07-24",103.36,103.37,102.38,102.6,3707618
"2014-07-31",103.08,104.57,101.9,102.66,6191450
"2014-08-07",100.44,100.66,97.91,98.57,2904147
"2014-08-14",99.05,99.34,97.68,97.94,2861701
"2014-08-21",100.02,101.42,99.56,101.13,1887894
"2014-08-28",101.45,101.87,101.04,101.37,2163987
"2014-09-04",100.21,100.87,98.1,98.76,2218834
"2014-09-11",96.1,97.67,95.81,97.63,2090149
"2014-09-18",97.88,98.27,96.54,97.01,1908701
"2014-09-25",95.03,95.14,93.31,93.31,1892596
"2014-10-02",90.06,90.13,87.68,88.74,5087359
"2014-10-09",84.8,85.19,81.79,81.88,3215194
"2014-10-16",70.83,74.53,70.66,73.23,6225403
"2014-10-23",74.81,76.87,74.63,76.08,4556840
"2014-10-30",75.35,76.4,74.59,75.81,2754165
"2014-11-06",73.98,75.48,72.74,75.44,4763941
"2014-11-13",73.3,73.57,70.94,72.07,4141493
