"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2012-05-24",51.38,51.89,51.09,51.72,1435417
"2012-05-31",51.49,51.8,50.87,51.45,2176989
"2012-06-07",51.73,51.99,51.08,51.19,1001440
"2012-06-14",51.65,52.57,51.55,52.34,1482375
"2012-06-21",55.08,55.25,53.66,53.75,1724713
"2012-06-28",54.03,54.2,52.75,53.79,2701756
"2012-07-05",54.53,54.55,54.04,54.21,959773
"2012-07-12",52.69,52.88,52.29,52.72,1289255
"2012-07-19",52.32,53.09,50.96,52.14,4618088
"2012-07-26",51.82,51.88,50.93,51.3,2064271
"2012-08-02",51.98,52.16,50.96,51.4,2406166
"2012-08-09",52.89,53.25,52.7,52.79,1524103
"2012-08-16",54.09,54.76,53.94,54.5,1818572
"2012-08-23",53.8,53.9,53.02,53.23,1654316
"2012-08-30",53.19,53.34,52.76,53.11,1160659
"2012-09-06",52.85,54.19,52.85,54.19,2961421
"2012-09-13",54.62,55.38,54.05,55.19,1980388
"2012-09-20",55.68,55.78,55.29,55.77,1512480
"2012-09-27",55.65,55.85,55.37,55.81,1201079
"2012-10-04",54.44,55.07,53.99,55.06,1624296
"2012-10-11",52.5,53.14,52.42,52.46,1516510
"2012-10-18",51.85,53.74,51.6,53.61,4556520
"2012-10-25",52.63,52.97,51.98,52.4,1801343
"2012-11-01",52.6,53.26,52.47,53.07,1574142
"2012-11-08",52.47,52.82,52.22,52.42,2282159
"2012-11-15",52.33,52.53,51.87,52,1750333
"2012-11-29",54.82,55.08,53.86,54.05,2455180
"2012-12-06",54.22,54.45,53.93,54.35,1985930
"2012-12-13",56.08,56.3,55.87,56.19,2265123
"2012-12-20",56.03,56.58,55.78,56.57,1277691
"2012-12-27",55.25,55.4,54.55,55.16,1132581
"2013-01-03",55.9,56.25,55.82,56.14,1384757
"2013-01-10",58.71,58.84,58.3,58.84,1816011
"2013-01-17",59.72,61.17,59.71,60.62,2380690
"2013-01-24",62.01,63.65,61.6,63.45,2491227
"2013-01-31",63.3,63.38,62.55,62.65,2716252
"2013-02-07",62.72,63.08,62.29,63.05,1808432
"2013-02-14",63.76,64.14,63.59,64.02,1216314
"2013-02-21",62.75,62.77,61.59,62.17,2143663
"2013-02-28",63.56,64.28,63.5,63.88,1636500
"2013-03-07",66,66.16,65.25,65.4,1445678
"2013-03-14",66.91,66.92,66.29,66.81,1158862
"2013-03-21",65.15,65.36,64.15,64.54,2088990
"2013-03-28",64.67,65.33,64.4,65.24,1217737
