"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume"
"2014-02-27",176.5,177.95,175.42,177.27,117184
"2014-03-06",181.73,183.21,181.05,182.56,198200
"2014-03-13",180.38,181.5,179.74,181.11,416739
"2014-03-20",180.68,181.74,179.19,181.6,174776
"2014-03-27",185.01,187.5,182.02,184.19,1799317
"2014-04-03",186.02,186.02,184.72,184.93,370938
"2014-04-10",179.07,179.98,174.95,175.08,241243
"2014-04-17",178.01,181.37,177.62,181,262780
"2014-04-24",181.32,182.16,178.4,179.67,170757
"2014-05-01",177.6,180.06,176.85,178.79,242357
"2014-05-08",179.31,182.48,177.81,181.29,268600
"2014-05-15",184.95,184.95,182.7,183.6,813444
"2014-05-22",185.12,188.23,183.96,187.53,394470
"2014-05-29",188.03,188.53,186.17,188.28,295397
"2014-06-05",193.58,193.62,188.23,190.97,1177619
"2014-06-12",169.61,170,162.2,167.7,894999
"2014-06-19",171.44,171.46,169.49,170.58,201061
"2014-06-26",167.79,168.74,166.87,167.75,360398
"2014-07-03",168.48,169.1,166.82,168.2,305954
"2014-07-10",165,166.44,164.74,165.61,280688
"2014-07-17",168.19,169.61,166.66,166.81,232048
"2014-07-24",171.74,173.01,170.25,170.71,409530
"2014-07-31",170,170.11,167.52,167.92,278821
"2014-08-07",173,174.73,172.82,174.02,364004
"2014-08-14",176.93,177.88,175.81,177.32,231245
"2014-08-21",184.22,185.75,183.96,184.92,548383
"2014-08-28",186.69,188.44,186.12,187.97,202019
"2014-09-04",189.38,189.66,187.38,187.83,228414
"2014-09-11",187.75,188.9,186.52,188.51,188926
"2014-09-18",189.89,191.15,189.37,189.99,210770
"2014-09-25",184.5,184.5,181.7,182.62,344510
"2014-10-02",182.54,183.02,180.68,181.42,316839
"2014-10-09",180.32,181.7,178.18,179.48,658272
"2014-10-16",169.79,175.38,169.38,172.93,397591
"2014-10-23",178.93,182.67,178.88,181.23,285636
"2014-10-30",183.58,185.87,183.58,185.49,354288
"2014-11-06",186.95,188.58,186,187.76,263762
"2014-11-13",189,195.52,185.99,191.79,767460
"2014-11-20",191.37,192.83,191.37,192.13,473333
"2014-12-04",195.45,196.67,194,196.12,344283
"2014-12-11",193.76,195.23,192.63,193.14,252873
"2014-12-18",195.57,198.39,194.65,196.33,675145
"2015-01-08",201,203,200.43,202.9,232372
"2015-01-15",205,205,202.68,203.74,211837
"2015-01-22",205.42,206.65,203.69,206.04,384660
