"","CXO.Open","CXO.High","CXO.Low","CXO.Close","CXO.Volume"
"2014-04-03",125.44,128.38,124.74,125.85,1378675
"2014-04-10",126.2,127.38,123.06,123.73,788102
"2014-04-17",131.99,134,131.48,133.2,1098514
"2014-04-24",133.89,135.33,132.79,133.6,1221695
"2014-05-01",129.42,130.8,128.09,130.03,1090553
"2014-05-08",134.5,135.28,133.3,133.61,1867915
"2014-05-15",132.14,132.23,128.55,130.74,1230392
"2014-05-22",132.57,134.36,131.99,132.25,574062
"2014-05-29",130.27,133.33,130.19,133.25,1165665
"2014-06-05",133.36,134.19,132.42,133.36,1037235
"2014-06-12",138.77,142.15,137.81,138.77,1316714
"2014-06-19",139.82,140.47,138.26,140.46,724192
"2014-06-26",139.79,139.79,137.18,139.18,630896
"2014-07-03",141.17,142.35,139.76,142.33,419591
"2014-07-10",145.56,148.61,144.4,147.76,1374217
"2014-07-17",145.01,147.37,142.54,142.78,890940
"2014-07-24",147.54,148.3,145.94,147.45,766886
"2014-07-31",144.02,144.02,140.11,140.8,1091202
"2014-08-07",135.74,135.74,130.71,130.92,1983428
"2014-08-14",131.5,131.5,127.32,127.95,1599616
"2014-08-21",129.95,133.2,129.62,133.09,1176525
"2014-08-28",137.44,139.61,137.13,139,649380
"2014-09-04",139.65,140.25,133.35,135.06,1494782
"2014-09-11",129.54,133.08,128.41,132.9,1012079
"2014-09-18",134.29,134.29,130.99,132.36,942316
"2014-09-25",127.7,127.7,124.11,126.23,1085399
"2014-10-02",120.11,121.1,115.32,120.36,1770081
"2014-10-09",112.96,114.26,109.35,109.46,1758386
"2014-10-16",98.87,107.11,97.81,104.66,2025351
"2014-10-23",108.83,112.15,107.61,110.92,1621180
"2014-10-30",107.82,109.61,105.35,106.76,1006920
"2014-11-06",104.48,112.42,103.01,112.2,2256215
"2014-11-13",114.55,116.17,113.02,114.97,1440870
"2014-11-20",115.83,119.98,115.48,117.83,1199552
"2014-12-04",93.78,97.02,93.03,96.88,1590528
"2014-12-11",88.17,88.8,85.73,85.95,2259859
"2014-12-18",95.26,95.89,91.78,93.97,2728240
"2015-01-08",92.96,97.32,92.21,96.4,1684756
"2015-01-15",103.56,105.02,100.27,100.51,2788697
"2015-01-22",109.65,109.65,104.42,106.4,2779492
"2015-01-29",107.27,108.29,103.28,106.46,1786590
"2015-02-05",111.91,113.86,110.71,113.04,1875093
"2015-02-12",113.41,117.34,113.41,115.6,1605765
"2015-02-19",112.54,120.08,112.26,118.37,1689005
"2015-02-26",122.14,122.14,110.68,112.97,2621343
"2015-03-05",114.39,114.6,112.69,113.46,960668
"2015-03-12",108.92,109,106.35,106.76,1102277
"2015-03-19",105.13,106.49,104.25,106.2,1140658
"2015-03-26",110.32,113.7,110.32,111.77,1913972
"2015-04-02",118.62,121.05,117.91,119.35,1868315
"2015-04-09",120.5,122.65,119.86,122.2,1281587
"2015-04-16",124.21,128.36,122.99,125.57,1358461
"2015-04-23",124.4,127.76,123.94,126.48,1082284
"2015-04-30",128.4,128.82,124.6,126.66,889051
"2015-05-07",120.27,120.31,115.41,117.12,1658673
"2015-05-14",118.53,118.53,113.64,114.15,1618435
"2015-05-21",119.73,122.09,119.27,122.03,1029855
"2015-05-28",117.58,118.54,114.88,117.31,759337
"2015-06-04",118.25,119.29,117.8,118.04,1059249
"2015-06-11",126.08,126.3,123.55,124.4,992435
"2015-06-18",124.5,125.55,123.35,123.92,813150
"2015-06-25",120.85,121.62,116.76,117.07,2522118
"2015-07-02",112.03,113.23,111.72,112.37,1141989
"2015-07-09",107.94,111.21,107.94,109.73,906799
"2015-07-16",109.08,109.42,106.83,107.51,1105717
"2015-07-23",105.71,106.92,104.2,105.62,1913009
"2015-07-30",107.46,112.59,107.16,108.45,3876228
"2015-08-06",105.03,109.54,104.03,108.96,2910399
"2015-08-13",112.78,113.44,109.67,109.97,1335979
"2015-08-20",105.75,106.26,103.65,104.15,2332054
"2015-08-27",97.99,103.54,97.84,102.99,2210820
"2015-09-03",106.65,109.36,104.85,106.42,1385164
"2015-09-10",102.14,103.22,100.11,102.01,1561363
"2015-09-17",105.04,107.84,104.05,105.27,2081119
"2015-09-24",100.1,102.57,99.07,101.73,1082861
"2015-10-01",95.48,98.85,94.83,98.21,7044331
"2015-10-08",111.13,116.46,110.43,116.43,2458779
"2015-10-15",114.74,117.11,113.77,116.2,1160259
"2015-10-22",112.6,114.46,110.95,112.83,1097927
"2015-10-29",114.5,117.75,113.79,116,1377500
"2015-11-05",114.34,116.81,109.29,113.2,2779191
"2015-11-12",105.99,106.99,103.61,104.81,1455767
"2015-11-19",110.61,111.19,107.14,109.12,846088
"2015-12-03",107.52,108.39,105.48,106.2,1141053
"2015-12-10",98.7,105.22,98.49,103.7,2084951
"2015-12-17",102.31,102.7,95.06,95.47,2943347
"2015-12-24",96.02,97,94.16,95.77,898192
"2015-12-31",91.28,94.29,91.28,92.86,1263089
"2016-01-07",81.87,85.89,80.59,82.42,2310443
"2016-01-14",79.17,81.96,75.58,80.95,2282787
"2016-01-21",72.69,82.16,72.24,81.39,3369684
"2016-01-28",93.49,93.54,88.58,91.08,2434187
"2016-02-04",92.71,93.2,88.72,90,2777498
"2016-02-11",84.23,85.16,80.7,84.9,1732466
"2016-02-18",95.57,96.24,92.7,93.96,6266917
"2016-02-25",88.5,91,87.55,88.78,4492443
"2016-03-03",95.78,100.16,95.24,97.23,2858691
"2016-03-10",96.16,97.61,94.26,96.84,2282849
"2016-03-17",106.32,107,104.46,104.96,2322646
"2016-03-24",99.11,104.08,97.75,103.61,1732471
"2016-03-31",101.72,102.55,99.18,101.04,1502497
"2016-04-07",101.25,103.18,100.44,103.13,1517421
"2016-04-14",107.42,108.19,106.32,107.8,831533
"2016-04-21",112.38,113.74,110.26,112.01,1580688
"2016-04-28",120.69,122.53,118.66,119.03,1393505
"2016-05-05",115.02,118.39,114.42,116.91,2107539
"2016-05-12",118.64,120.28,116.6,117.53,1163346
"2016-05-19",114.73,116.95,111.93,116.89,1399370
"2016-05-26",121.34,123.01,120.13,122.4,1647197
"2016-06-02",120,121.28,118.77,120.98,858785
"2016-06-09",124.35,125.77,124.15,124.47,976598
"2016-06-16",120.24,120.24,116.82,117.84,1440993
"2016-06-23",126.93,130.03,126.44,129.95,1600684
"2016-06-30",120.43,120.43,118,119.27,1783041
"2016-07-07",120.01,120.33,115.12,115.83,1282819
"2016-07-14",122.63,123.31,121.2,123.3,974982
"2016-07-21",121.56,123.31,120.81,121.16,966610
"2016-07-28",119.4,121.72,118.38,119.66,1414154
"2016-08-04",125.75,128.19,124.72,125.9,1362220
"2016-08-11",129.71,133.05,128.81,132.13,954142
"2016-08-18",133.66,135.48,133.13,135.44,1774956
"2016-08-25",132.5,132.7,130.73,132.03,1156352
"2016-09-01",128.57,130.54,128.04,130.5,1063994
"2016-09-08",134.91,136.12,133.43,134.17,1522574
"2016-09-15",124.15,126.46,123.43,125.35,854399
