"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume"
"2015-02-26",45.83,46.7,45.8,46.62,4902993
"2015-03-05",46.69,46.83,45.99,46.46,2327567
"2015-03-12",46.31,46.87,46.14,46.84,2276543
"2015-03-19",47.46,47.74,47.1,47.41,2000710
"2015-03-26",46.02,46.39,45.69,46.11,3550763
"2015-04-02",46.45,46.66,46.2,46.5,3083956
"2015-04-09",46.3,46.74,46.16,46.55,2721260
"2015-04-16",46.8,47.17,46.64,47.14,1586498
"2015-04-23",46.94,47.1,46.57,47.05,2113277
"2015-04-30",45.08,45.45,44.31,44.42,4330171
"2015-05-07",45.33,45.75,45.03,45.56,2426957
"2015-05-14",45.87,46.32,45.48,46.28,1959621
"2015-05-21",47.33,47.89,47.05,47.8,3599250
"2015-05-28",49.29,49.55,48.4,49.11,4933974
"2015-06-04",49.05,49.59,48.85,48.9,2080683
"2015-06-11",49.8,50.04,49.6,49.87,2055692
"2015-06-18",50.29,50.6,50.16,50.5,3696096
"2015-06-25",49.84,55.38,49.57,55.38,3228130
"2015-07-02",48.6,48.66,47.89,48.31,2070875
"2015-07-09",47.11,47.37,46.56,46.57,3417433
"2015-07-16",47.39,48.22,47.39,48,3423487
"2015-07-23",49.96,50.39,49.51,49.85,2457852
"2015-07-30",47.96,48.72,47.96,48.55,1576778
"2015-08-06",49.56,50.25,47.97,48.28,3223414
"2015-08-13",47.82,48.38,47.6,47.66,2574807
"2015-08-20",47.36,47.68,46.28,46.38,2516294
"2015-08-27",44.71,46.15,44.11,45.86,4596206
"2015-09-03",45.32,45.62,44.32,44.53,2858690
"2015-09-10",43.93,44.93,43.8,44.34,2843449
"2015-09-17",44.75,46.63,44.75,46.01,5406215
"2015-09-24",44.13,44.2,43.01,43.59,2978430
"2015-10-01",41.07,41.34,40.37,41.29,4077479
"2015-10-08",42.56,43.4,41.98,43.22,4399649
"2015-10-15",41.69,43.12,41.58,43,2469747
"2015-10-22",41.69,41.9,39.98,40.8,8892312
"2015-10-29",43.31,43.91,43.24,43.55,2791034
"2015-11-05",46.56,46.78,44.92,45.46,4755223
"2015-11-12",45.01,45.19,44.46,44.53,2834138
"2015-11-19",47.05,47.21,46.57,46.9,2920204
"2015-12-03",46.48,46.54,44.94,45.2,2465441
"2015-12-10",45.16,46.49,45.15,46.1,2472296
"2015-12-17",47.27,47.57,46.49,46.73,2642412
"2015-12-24",47.86,48.45,47.63,48.13,965268
"2015-12-31",47.93,48.4,47.81,47.92,1768460
"2016-01-07",46.99,48,46.29,46.56,4324437
"2016-01-14",43.34,44.4,42.66,44.13,4759409
"2016-01-21",43.79,43.92,42.98,43.08,3777390
"2016-01-28",43.4,43.58,42.71,42.84,5660446
"2016-02-04",41.15,41.95,40.93,41.54,3941027
"2016-02-11",38.98,39.53,38.26,39.36,8041650
"2016-02-18",41.56,42.37,41.53,42.02,5350351
"2016-02-25",42.37,42.92,41.78,42.9,4135866
"2016-03-03",41.72,41.85,40.7,41.08,4473642
"2016-03-10",39.92,40.61,39.35,39.91,7999495
"2016-03-17",40.49,40.67,39.52,39.72,7227055
"2016-03-24",42.27,43.06,42.13,42.48,4796624
"2016-03-31",43.4,44.54,43.25,44.33,6326689
"2016-04-07",46.96,47.24,46.83,47.19,5862074
"2016-04-14",47.27,47.96,47.12,47.67,3064721
"2016-04-21",48.42,48.83,48.04,48.44,2998927
"2016-04-28",47.23,47.64,46.97,47.19,1888639
"2016-05-05",47.32,48.28,47.03,48.24,3533429
"2016-05-12",45.85,46.42,45.56,46.25,5470322
"2016-05-19",46.79,46.93,45.92,46.43,2188314
"2016-05-26",46.89,47.46,46.77,47.33,3116865
"2016-06-02",47.89,48.18,47.66,48.13,1751077
"2016-06-09",48.36,48.68,47.92,48.14,2121841
"2016-06-16",47,47.36,46.56,47.26,2366903
"2016-06-23",47.6,47.9,47.44,47.9,2291503
"2016-06-30",47.19,47.53,46.97,47.46,3769037
"2016-07-07",48.1,48.17,47.46,47.69,2338037
"2016-07-14",49.62,50.06,49.37,49.98,2618327
"2016-07-21",50.21,50.39,50.01,50.14,1721719
"2016-07-28",49.85,50.17,49.57,50.06,2852855
"2016-08-04",51.53,51.99,51.19,51.41,4520261
"2016-08-11",51.89,52.16,51.64,52.07,3056889
"2016-08-18",52.4,52.64,52.09,52.29,1842527
"2016-08-25",50.62,51.03,50.36,50.47,2919317
"2016-09-01",51.15,51.15,50.62,51.11,2695047
"2016-09-08",52.03,52.1,51.3,51.41,5517323
"2016-09-15",50.71,50.93,50.2,50.72,3331049
